Date,Wearing Apparel & Footwear
1985 Jan,
1985 Feb,
1985 Mar,
1985 Apr,
1985 May,
1985 Jun,
1985 Jul,
1985 Aug,
1985 Sep,
1985 Oct,
1985 Nov,
1985 Dec,
1986 Jan,
1986 Feb,
1986 Mar,
1986 Apr,
1986 May,
1986 Jun,
1986 Jul,
1986 Aug,
1986 Sep,
1986 Oct,
1986 Nov,
1986 Dec,
1987 Jan,
1987 Feb,
1987 Mar,
1987 Apr,
1987 May,
1987 Jun,
1987 Jul,
1987 Aug,
1987 Sep,
1987 Oct,
1987 Nov,
1987 Dec,
1988 Jan,
1988 Feb,
1988 Mar,
1988 Apr,
1988 May,
1988 Jun,
1988 Jul,
1988 Aug,
1988 Sep,
1988 Oct,
1988 Nov,
1988 Dec,
1989 Jan,
1989 Feb,
1989 Mar,
1989 Apr,
1989 May,
1989 Jun,
1989 Jul,
1989 Aug,
1989 Sep,
1989 Oct,
1989 Nov,
1989 Dec,
1990 Jan,
1990 Feb,
1990 Mar,
1990 Apr,
1990 May,
1990 Jun,
1990 Jul,
1990 Aug,
1990 Sep,
1990 Oct,
1990 Nov,
1990 Dec,
1991 Jan,
1991 Feb,
1991 Mar,
1991 Apr,
1991 May,
1991 Jun,
1991 Jul,
1991 Aug,
1991 Sep,
1991 Oct,
1991 Nov,
1991 Dec,
1992 Jan,
1992 Feb,
1992 Mar,
1992 Apr,
1992 May,
1992 Jun,
1992 Jul,
1992 Aug,
1992 Sep,
1992 Oct,
1992 Nov,
1992 Dec,
1993 Jan,84.359
1993 Feb,54.782
1993 Mar,67.705
1993 Apr,53.818
1993 May,59.347
1993 Jun,62.69
1993 Jul,65.776
1993 Aug,61.469
1993 Sep,66.227
1993 Oct,65.134
1993 Nov,64.812
1993 Dec,93.296
1994 Jan,81.723
1994 Feb,72.849
1994 Mar,75.807
1994 Apr,54.267
1994 May,61.405
1994 Jun,59.733
1994 Jul,73.75
1994 Aug,64.105
1994 Sep,64.041
1994 Oct,66.291
1994 Nov,70.985
1994 Dec,93.489
1995 Jan,97.601
1995 Feb,60.631
1995 Mar,67.125
1995 Apr,59.088
1995 May,61.017
1995 Jun,59.41
1995 Jul,65.968
1995 Aug,62.303
1995 Sep,63.075
1995 Oct,62.175
1995 Nov,66.033
1995 Dec,87.186
1996 Jan,76.356
1996 Feb,74.428
1996 Mar,69.672
1996 Apr,53.154
1996 May,54.503
1996 Jun,63.309
1996 Jul,68.129
1996 Aug,62.666
1996 Sep,65.687
1996 Oct,68.065
1996 Nov,69.286
1996 Dec,96.28
1997 Jan,88.514
1997 Feb,65.737
1997 Mar,60.095
1997 Apr,53.201
1997 May,53.538
1997 Jun,65.97
1997 Jul,72.953
1997 Aug,58.411
1997 Sep,55.572
1997 Oct,54.445
1997 Nov,59.894
1997 Dec,83.869
1998 Jan,87.711
1998 Feb,50.059
1998 Mar,51.552
1998 Apr,45.577
1998 May,51.482
1998 Jun,65.05
1998 Jul,57.298
1998 Aug,50.481
1998 Sep,51.015
1998 Oct,53.441
1998 Nov,56.781
1998 Dec,79.771
1999 Jan,80.491
1999 Feb,69.984
1999 Mar,62.592
1999 Apr,53.329
1999 May,63.952
1999 Jun,68.162
1999 Jul,64.694
1999 Aug,64.102
1999 Sep,59.763
1999 Oct,65.067
1999 Nov,69.299
1999 Dec,98.051
2000 Jan,100.539
2000 Feb,73.642
2000 Mar,64.099
2000 Apr,60.555
2000 May,62.011
2000 Jun,67.423
2000 Jul,73.827
2000 Aug,70.045
2000 Sep,62.463
2000 Oct,64.222
2000 Nov,69.239
2000 Dec,105.813
2001 Jan,100.431
2001 Feb,63.305
2001 Mar,65.262
2001 Apr,60.957
2001 May,64.29
2001 Jun,73.992
2001 Jul,71.786
2001 Aug,67.267
2001 Sep,57.619
2001 Oct,64.428
2001 Nov,68.029
2001 Dec,112.359
2002 Jan,86.867
2002 Feb,76.435
2002 Mar,65.446
2002 Apr,56.866
2002 May,63.955
2002 Jun,68.177
2002 Jul,67.872
2002 Aug,63.749
2002 Sep,60.272
2002 Oct,63.21
2002 Nov,74.722
2002 Dec,111.081
2003 Jan,101.888
2003 Feb,60.962
2003 Mar,56.099
2003 Apr,40.895
2003 May,48.726
2003 Jun,64.469
2003 Jul,60.834
2003 Aug,59.901
2003 Sep,55.917
2003 Oct,63.895
2003 Nov,69.602
2003 Dec,103.481
2004 Jan,88.849
2004 Feb,62.513
2004 Mar,59.812
2004 Apr,58.284
2004 May,63.982
2004 Jun,73.74
2004 Jul,75.982
2004 Aug,63.931
2004 Sep,59.304
2004 Oct,66.271
2004 Nov,71.548
2004 Dec,107.985
2005 Jan,104.09
2005 Feb,69.932
2005 Mar,70.692
2005 Apr,62.043
2005 May,73.169
2005 Jun,80.162
2005 Jul,79.827
2005 Aug,63.489
2005 Sep,66.845
2005 Oct,74.544
2005 Nov,71.976
2005 Dec,121.103
2006 Jan,123.763
2006 Feb,69.818
2006 Mar,74.909
2006 Apr,77.819
2006 May,78.133
2006 Jun,87.73
2006 Jul,89.291
2006 Aug,74.385
2006 Sep,72.963
2006 Oct,74.162
2006 Nov,81.391
2006 Dec,116.637
2007 Jan,111.917
2007 Feb,96.074
2007 Mar,86.787
2007 Apr,81.593
2007 May,88.634
2007 Jun,100.7
2007 Jul,94.267
2007 Aug,80.132
