 Variables ,     Wearing Apparel & Footwear 
 1985 Jan ,
 1985 Feb ,
 1985 Mar ,
 1985 Apr ,
 1985 May ,
 1985 Jun ,
 1985 Jul ,
 1985 Aug ,
 1985 Sep ,
 1985 Oct ,
 1985 Nov ,
 1985 Dec ,
 1986 Jan ,
 1986 Feb ,
 1986 Mar ,
 1986 Apr ,
 1986 May ,
 1986 Jun ,
 1986 Jul ,
 1986 Aug ,
 1986 Sep ,
 1986 Oct ,
 1986 Nov ,
 1986 Dec ,
 1987 Jan ,
 1987 Feb ,
 1987 Mar ,
 1987 Apr ,
 1987 May ,
 1987 Jun ,
 1987 Jul ,
 1987 Aug ,
 1987 Sep ,
 1987 Oct ,
 1987 Nov ,
 1987 Dec ,
 1988 Jan ,
 1988 Feb ,
 1988 Mar ,
 1988 Apr ,
 1988 May ,
 1988 Jun ,
 1988 Jul ,
 1988 Aug ,
 1988 Sep ,
 1988 Oct ,
 1988 Nov ,
 1988 Dec ,
 1989 Jan ,
 1989 Feb ,
 1989 Mar ,
 1989 Apr ,
 1989 May ,
 1989 Jun ,
 1989 Jul ,
 1989 Aug ,
 1989 Sep ,
 1989 Oct ,
 1989 Nov ,
 1989 Dec ,
 1990 Jan ,
 1990 Feb ,
 1990 Mar ,
 1990 Apr ,
 1990 May ,
 1990 Jun ,
 1990 Jul ,
 1990 Aug ,
 1990 Sep ,
 1990 Oct ,
 1990 Nov ,
 1990 Dec ,
 1991 Jan ,
 1991 Feb ,
 1991 Mar ,
 1991 Apr ,
 1991 May ,
 1991 Jun ,
 1991 Jul ,
 1991 Aug ,
 1991 Sep ,
 1991 Oct ,
 1991 Nov ,
 1991 Dec ,
 1992 Jan ,
 1992 Feb ,
 1992 Mar ,
 1992 Apr ,
 1992 May ,
 1992 Jun ,
 1992 Jul ,
 1992 Aug ,
 1992 Sep ,
 1992 Oct ,
 1992 Nov ,
 1992 Dec ,
 1993 Jan ,81.635
 1993 Feb ,52.758
 1993 Mar ,65.499
 1993 Apr ,52.182
 1993 May ,57.88
 1993 Jun ,61.21
 1993 Jul ,64.155
 1993 Aug ,59.481
 1993 Sep ,64.283
 1993 Oct ,63.899
 1993 Nov ,63.579
 1993 Dec ,91.815
 1994 Jan ,80.61
 1994 Feb ,71.39
 1994 Mar ,74.271
 1994 Apr ,53.783
 1994 May ,61.018
 1994 Jun ,59.609
 1994 Jul ,73.311
 1994 Aug ,63.579
 1994 Sep ,63.707
 1994 Oct ,65.948
 1994 Nov ,70.878
 1994 Dec ,93.8
 1995 Jan ,97.77
 1995 Feb ,60.377
 1995 Mar ,66.972
 1995 Apr ,59.097
 1995 May ,60.826
 1995 Jun ,59.289
 1995 Jul ,64.539
 1995 Aug ,61.146
 1995 Sep ,62.875
 1995 Oct ,61.722
 1995 Nov ,65.628
 1995 Dec ,87.077
 1996 Jan ,76.192
 1996 Feb ,74.592
 1996 Mar ,69.981
 1996 Apr ,53.527
 1996 May ,54.615
 1996 Jun ,63.387
 1996 Jul ,66.524
 1996 Aug ,61.85
 1996 Sep ,65.499
 1996 Oct ,67.484
 1996 Nov ,68.701
 1996 Dec ,96.169
 1997 Jan ,88.62
 1997 Feb ,65.193
 1997 Mar ,60.673
 1997 Apr ,53.684
 1997 May ,54.332
 1997 Jun ,63.371
 1997 Jul ,69.54
 1997 Aug ,58.831
 1997 Sep ,56.246
 1997 Oct ,53.889
 1997 Nov ,60.097
 1997 Dec ,83.848
 1998 Jan ,85.375
 1998 Feb ,49.127
 1998 Mar ,51.3
 1998 Apr ,45.594
 1998 May ,52.315
 1998 Jun ,61.147
 1998 Jul ,54.185
 1998 Aug ,49.739
 1998 Sep ,49.738
 1998 Oct ,50.936
 1998 Nov ,54.922
 1998 Dec ,78.326
 1999 Jan ,78.538
 1999 Feb ,68.04
 1999 Mar ,60.781
 1999 Apr ,52.089
 1999 May ,62.053
 1999 Jun ,64.202
 1999 Jul ,62.01
 1999 Aug ,61.326
 1999 Sep ,56.629
 1999 Oct ,60.791
 1999 Nov ,65.39
 1999 Dec ,92.089
 2000 Jan ,94.266
 2000 Feb ,68.931
 2000 Mar ,61.319
 2000 Apr ,57.554
 2000 May ,57.942
 2000 Jun ,62.033
 2000 Jul ,69.32
 2000 Aug ,66.564
 2000 Sep ,59.918
 2000 Oct ,61.788
 2000 Nov ,66.798
 2000 Dec ,100.772
 2001 Jan ,94.33
 2001 Feb ,60.098
 2001 Mar ,63.1
 2001 Apr ,58.83
 2001 May ,61.406
 2001 Jun ,67.528
 2001 Jul ,68.686
 2001 Aug ,63.642
 2001 Sep ,55.057
 2001 Oct ,60.679
 2001 Nov ,64.3
 2001 Dec ,105.779
 2002 Jan ,79.759
 2002 Feb ,70.222
 2002 Mar ,62.601
 2002 Apr ,54.199
 2002 May ,60.85
 2002 Jun ,62.511
 2002 Jul ,65.594
 2002 Aug ,61.318
 2002 Sep ,57.292
 2002 Oct ,60.768
 2002 Nov ,72.419
 2002 Dec ,104.942
 2003 Jan ,96.742
 2003 Feb ,56.867
 2003 Mar ,54.511
 2003 Apr ,39.578
 2003 May ,46.958
 2003 Jun ,59.119
 2003 Jul ,58.193
 2003 Aug ,57.622
 2003 Sep ,53.091
 2003 Oct ,60.954
 2003 Nov ,67.641
 2003 Dec ,99.36
 2004 Jan ,85.393
