Variables,Total Changes In Employment,Services Producing Industries,Wholesale & Retail Trade,Accommodation & Food Services
2004 1Q,13700,11600,2500,-600
2004 2Q,10900,8200,1600,500
2004 3Q,14100,7500,200,-300
2004 4Q,32700,27600,6700,4500
2005 1Q,17800,10600,2200,-1200
2005 2Q,31700,18900,2600,400
2005 3Q,28500,18500,2700,900
2005 4Q,35300,25700,5100,5600
2006 1Q,45000,28000,3500,1100
2006 2Q,36400,24400,3000,1500
2006 3Q,43000,25900,4500,1200
2006 4Q,51500,34400,7500,8700
2007 1Q,49400,33700,4900,1800
2007 2Q,64400,36800,3900,4600
2007 3Q,58600,34100,4600,2500
2007 4Q,62500,38500,6500,7400
2008 1Q,73200,46500,4500,3400
2008 2Q,71400,38300,4700,2800
2008 3Q,55700,34300,3300,4200
2008 4Q,21300,17300,4000,6400
2009 1Q,-6200,8400,-600,-2600
2009 2Q,-7700,5000,-1700,-1600
2009 3Q,13900,12300,800,400
2009 4Q,37500,31600,6100,6100
2010 1Q,36500,31200,1400,3200
2010 2Q,24900,24500,1400,1000
2010 3Q,20500,19900,2200,2400
2010 4Q,33900,34700,8200,9000
2011 1Q,28300,23800,1600,300
2011 2Q,24800,18300,2300,600
2011 3Q,31900,21400,2800,2900
2011 4Q,37600,30700,7600,6400
2012 1Q,27200,19300,2100,-2400
2012 2Q,31700,16600,2600,-800
2012 3Q,26200,12100,200,1800
2012 4Q,44000,30600,6700,8600
2013 1Q,28900,19300,2300,-900
2013 2Q,33700,20800,2200,100
2013 3Q,33100,18300,2500,1300
2013 4Q,40600,32800,8400,7000
2014 1Q,28400,21400,-1400,900
2014 2Q,27700,27500,2200,800
2014 3Q,33400,29500,5200,2400
2014 4Q,40700,40100,11500,6100
2015 1Q,-6100,1800,-6600,-1000
2015 2Q,9700,9800,-4200,0
2015 3Q,12600,13100,-2100,1500
2015 4Q,16100,20900,4600,4700
2016 1Q,13000,11300,0,-100
2016 2Q,4200,7600,-900,-100
2016 3Q,-2700,6700,-1600,800
2016 4Q,2300,17200,3900,4700
2017 1Q,-6800,8600,-4900,-300
2017 2Q,-7300,6800,-1700,-400
2017 3Q,-2300,10400,-100,1200
2017 4Q,12700,20200,4900,2900
2018 1Q,3700,13100,-1800,-1100
2018 2Q,6500,7200,-1700,-1600
2018 3Q,19300,16400,1100,1000
2018 4Q,15900,18200,4100,3000
2019 1Q,13400,16400,-1900,300
2019 2Q,5500,4700,-3000,400
2019 3Q,26000,19600,-1900,1700
2019 4Q,20100,14400,1900,2700
