Variables,Services,Food & Beverage Services,Services (Resignation),Food & Beverage Services (Resignation),Net Change (Services),Net Change (F&B)
2006 1Q,2.8,5.3,2.2,4.9,0.6,0.4
2006 2Q,3,5.9,2.3,5.2,0.7,0.7
2006 3Q,3.3,5.6,2.4,5.3,0.9,0.3
2006 4Q,2.9,6.7,2,5.3,0.9,1.4
2007 1Q,2.9,5.3,2.2,5,0.7,0.3
2007 2Q,3.5,6.4,2.5,5.8,1.0,0.6
2007 3Q,3.5,5.6,2.4,5.1,1.1,0.5
2007 4Q,2.9,5.5,2,4.3,0.9,1.2
2008 1Q,3.1,5.1,2.3,4.7,0.8,0.4
2008 2Q,3.4,5.5,2.5,5.1,0.9,0.4
2008 3Q,3.2,4.9,2.2,4.4,1.0,0.5
2008 4Q,2.4,5,1.7,3.8,0.7,1.2
2009 1Q,2.1,3.4,1.9,4.2,0.2,-0.8
2009 2Q,2.3,4.1,1.9,4.6,0.4,-0.5
2009 3Q,2.7,4.5,2,4.3,0.7,0.2
2009 4Q,2.7,4.9,1.9,4,0.8,0.9
2010 1Q,3.1,4.2,2.3,4.5,0.8,-0.3
2010 2Q,3.3,4.7,2.5,4.1,0.8,0.6
2010 3Q,3.3,5.2,2.4,4.8,0.9,0.4
2010 4Q,2.9,5.7,2,4.3,0.9,1.4
2011 1Q,2.8,4.7,2.2,4.5,0.6,0.2
2011 2Q,3.1,5.3,2.3,4.8,0.8,0.5
2011 3Q,3.3,5.1,2.3,4.6,1.0,0.5
2011 4Q,2.8,5.9,1.9,4.4,0.9,1.5
2012 1Q,2.9,4.6,2.4,4.8,0.5,-0.2
2012 2Q,3.1,4.7,2.4,5,0.7,-0.3
2012 3Q,3,4.6,2.3,4.6,0.7,0.0
2012 4Q,2.7,5.4,2,4,0.7,1.4
2013 1Q,2.8,4.5,2.3,4.5,0.5,0.0
2013 2Q,3,5.1,2.4,4.7,0.6,0.4
2013 3Q,2.9,4.5,2.2,4,0.7,0.5
2013 4Q,2.6,5.5,1.9,4,0.7,1.5
2014 1Q,2.7,4.7,2.3,4.7,0.4,0.0
2014 2Q,3,5.2,2.4,5.2,0.6,0.0
2014 3Q,3,5,2.3,4.5,0.7,0.5
2014 4Q,2.6,5.2,1.8,3.9,0.8,1.3
2015 1Q,2.6,4.2,2,4.2,0.6,0.0
2015 2Q,2.8,5,2.2,4.8,0.6,0.2
2015 3Q,2.7,4.2,2,3.8,0.7,0.4
2015 4Q,2.5,5.4,1.8,4.2,0.7,1.2
2016 1Q,2.5,4.3,2,4.1,0.5,0.2
2016 2Q,2.6,4.2,2.1,4,0.5,0.2
2016 3Q,2.4,3.8,1.9,3.7,0.5,0.1
2016 4Q,2.2,4.3,1.7,3.5,0.5,0.8
2017 1Q,2.2,3.9,1.9,3.8,0.3,0.1
2017 2Q,2.3,4.1,2,4.1,0.3,0.0
2017 3Q,2.4,3.5,1.9,3.4,0.5,0.1
2017 4Q,2.3,4.3,1.7,3.9,0.6,0.4
2018 1Q,2.4,3.8,1.9,3.4,0.5,0.4
2018 2Q,2.7,4.2,2.1,3.8,0.6,0.4
2018 3Q,2.4,3.4,1.8,3,0.6,0.4
2018 4Q,2.2,4.1,1.7,3.5,0.5,0.6
2019 1Q,2.4,3.9,1.8,3.5,0.6,0.4
2019 2Q,2.6,4.4,2.1,4.1,0.5,0.3
2019 3Q,2.5,4.2,1.9,3.5,0.6,0.7
2019 4Q,2.1,4.1,1.6,3.3,0.5,0.8
