 Variables , Total 
 1985 Jan ,39.399
 1985 Feb ,40.224
 1985 Mar ,40.5
 1985 Apr ,35.492
 1985 May ,37.417
 1985 Jun ,39.894
 1985 Jul ,34.832
 1985 Aug ,35.712
 1985 Sep ,37.308
 1985 Oct ,38.629
 1985 Nov ,38.353
 1985 Dec ,40.17
 1986 Jan ,36.647
 1986 Feb ,35.437
 1986 Mar ,35.327
 1986 Apr ,32.741
 1986 May ,35.492
 1986 Jun ,34.391
 1986 Jul ,33.731
 1986 Aug ,35.491
 1986 Sep ,35.656
 1986 Oct ,34.171
 1986 Nov ,34.996
 1986 Dec ,38.463
 1987 Jan ,34.556
 1987 Feb ,33.455
 1987 Mar ,36.812
 1987 Apr ,34.666
 1987 May ,38.517
 1987 Jun ,36.702
 1987 Jul ,35.931
 1987 Aug ,37.967
 1987 Sep ,37.031
 1987 Oct ,41.873
 1987 Nov ,40.883
 1987 Dec ,46.055
 1988 Jan ,41.378
 1988 Feb ,40.993
 1988 Mar ,42.258
 1988 Apr ,40.333
 1988 May ,42.754
 1988 Jun ,41.323
 1988 Jul ,42.644
 1988 Aug ,41.489
 1988 Sep ,42.425
 1988 Oct ,45.726
 1988 Nov ,46.332
 1988 Dec ,51.504
 1989 Jan ,45.781
 1989 Feb ,45.232
 1989 Mar ,47.653
 1989 Apr ,45.727
 1989 May ,47.598
 1989 Jun ,46.277
 1989 Jul ,48.588
 1989 Aug ,47.598
 1989 Sep ,51.065
 1989 Oct ,50.57
 1989 Nov ,52
 1989 Dec ,57.503
 1990 Jan ,51.615
 1990 Feb ,50.075
 1990 Mar ,53.266
 1990 Apr ,49.579
 1990 May ,53.266
 1990 Jun ,51.175
 1990 Jul ,50.57
 1990 Aug ,52.055
 1990 Sep ,51.56
 1990 Oct ,53.981
 1990 Nov ,56.347
 1990 Dec ,61.519
 1991 Jan ,51.119
 1991 Feb ,49.138
 1991 Mar ,51.889
 1991 Apr ,51.064
 1991 May ,54.42
 1991 Jun ,56.346
 1991 Jul ,53.595
 1991 Aug ,54.64
 1991 Sep ,56.566
 1991 Oct ,56.785
 1991 Nov ,60.142
 1991 Dec ,64.434
 1992 Jan ,57.391
 1992 Feb ,58.327
 1992 Mar ,56.291
 1992 Apr ,56.511
 1992 May ,59.592
 1992 Jun ,57.336
 1992 Jul ,57.226
 1992 Aug ,58.162
 1992 Sep ,60.363
 1992 Oct ,60.252
 1992 Nov ,62.013
 1992 Dec ,65.48
 1993 Jan ,62.005
 1993 Feb ,56.156
 1993 Mar ,61.405
 1993 Apr ,57.919
 1993 May ,63
 1993 Jun ,63.196
 1993 Jul ,62.644
 1993 Aug ,63.221
 1993 Sep ,62.489
 1993 Oct ,65.419
 1993 Nov ,65.021
 1993 Dec ,72.544
 1994 Jan ,64.924
 1994 Feb ,62.786
 1994 Mar ,67.714
 1994 Apr ,63.177
 1994 May ,66.21
 1994 Jun ,62.972
 1994 Jul ,66.101
 1994 Aug ,63.692
 1994 Sep ,67.374
 1994 Oct ,67.261
 1994 Nov ,69.171
 1994 Dec ,75.235
 1995 Jan ,68.02
 1995 Feb ,62.969
 1995 Mar ,69.235
 1995 Apr ,65.22
 1995 May ,69.989
 1995 Jun ,68.427
 1995 Jul ,69.929
 1995 Aug ,68.627
 1995 Sep ,71.328
 1995 Oct ,70.388
 1995 Nov ,72.812
 1995 Dec ,81.447
 1996 Jan ,69.633
 1996 Feb ,70.21
 1996 Mar ,73.731
 1996 Apr ,68.674
 1996 May ,72.327
 1996 Jun ,73.165
 1996 Jul ,71.013
 1996 Aug ,71.295
 1996 Sep ,72.441
 1996 Oct ,73.612
 1996 Nov ,78.051
 1996 Dec ,84.709
 1997 Jan ,74.88
 1997 Feb ,73.89
 1997 Mar ,79.448
 1997 Apr ,72.546
 1997 May ,76.376
 1997 Jun ,77.957
 1997 Jul ,74.977
 1997 Aug ,75.443
 1997 Sep ,78.181
 1997 Oct ,76.757
 1997 Nov ,79
 1997 Dec ,86.273
 1998 Jan ,76.957
 1998 Feb ,72.17
 1998 Mar ,74.345
 1998 Apr ,69.103
 1998 May ,75.207
 1998 Jun ,69.362
 1998 Jul ,68.949
 1998 Aug ,70.206
 1998 Sep ,67.949
 1998 Oct ,72.405
 1998 Nov ,72.296
 1998 Dec ,78.523
 1999 Jan ,69.341
 1999 Feb ,64.847
 1999 Mar ,73.032
 1999 Apr ,68.097
 1999 May ,73.554
 1999 Jun ,73.219
 1999 Jul ,69.682
 1999 Aug ,68.198
 1999 Sep ,72.02
 1999 Oct ,74.883
 1999 Nov ,76.251
 1999 Dec ,81.389
 2000 Jan ,74.669
 2000 Feb ,72.969
