 Variables , Total 
 1985 1Q ,75.63
 1985 2Q ,70.733
 1985 3Q ,67.795
 1985 4Q ,73.797
 1986 1Q ,67.763
 1986 2Q ,64.666
 1986 3Q ,66.088
 1986 4Q ,67.762
 1987 1Q ,65.835
 1987 2Q ,68.332
 1987 3Q ,69.027
 1987 4Q ,80.052
 1988 1Q ,77.284
 1988 2Q ,77.063
 1988 3Q ,78.105
 1988 4Q ,88.021
 1989 1Q ,84.842
 1989 2Q ,84.905
 1989 3Q ,88.442
 1989 4Q ,94.504
 1990 1Q ,90.625
 1990 2Q ,89.806
 1990 3Q ,90.436
 1990 4Q ,100.25
 1991 1Q ,87.938
 1991 2Q ,93.144
 1991 3Q ,94.28
 1991 4Q ,103.177
 1992 1Q ,97.432
 1992 2Q ,96.99
 1992 3Q ,97.81
 1992 4Q ,104.118
 1993 1Q ,99.765
 1993 2Q ,101.833
 1993 3Q ,103.465
 1993 4Q ,111.014
 1994 1Q ,106.044
 1994 2Q ,101.886
 1994 3Q ,103.324
 1994 4Q ,110.743
 1995 1Q ,103.623
 1995 2Q ,104.466
 1995 3Q ,107.238
 1995 4Q ,113.985
 1996 1Q ,107.995
 1996 2Q ,107.526
 1996 3Q ,107.435
 1996 4Q ,117.593
 1997 1Q ,113.367
 1997 2Q ,112.681
 1997 3Q ,112.37
 1997 4Q ,118.328
 1998 1Q ,108.402
 1998 2Q ,103.586
 1998 3Q ,100.483
 1998 4Q ,108.286
 1999 1Q ,100.032
 1999 2Q ,103.449
 1999 3Q ,100.871
 1999 4Q ,111.785
 2000 1Q ,106.913
 2000 2Q ,107.796
 2000 3Q ,110.809
 2000 4Q ,118.764
 2001 1Q ,110.704
 2001 2Q ,108.723
 2001 3Q ,106.932
 2001 4Q ,107.497
 2002 1Q ,103.359
 2002 2Q ,99.87
 2002 3Q ,100.131
 2002 4Q ,105.146
 2003 1Q ,98.139
 2003 2Q ,79.171
 2003 3Q ,93.424
 2003 4Q ,103.795
 2004 1Q ,97.591
 2004 2Q ,94.213
 2004 3Q ,94.863
 2004 4Q ,100.452
 2005 1Q ,97.998
 2005 2Q ,95.905
 2005 3Q ,98.58
 2005 4Q ,99.679
 2006 1Q ,100.584
 2006 2Q ,98.887
 2006 3Q ,100.414
 2006 4Q ,103.628
 2007 1Q ,101.247
 2007 2Q ,102.159
 2007 3Q ,104.397
 2007 4Q ,107.825
 2008 1Q ,104.796
 2008 2Q ,103.985
 2008 3Q ,104.373
 2008 4Q ,107.834
 2009 1Q ,98.66
 2009 2Q ,97.821
 2009 3Q ,99.13
 2009 4Q ,102.894
 2010 1Q ,101.294
 2010 2Q ,103.097
 2010 3Q ,103.491
 2010 4Q ,108.262
 2011 1Q ,105.923
 2011 2Q ,107.691
 2011 3Q ,108.088
 2011 4Q ,110.958
 2012 1Q ,110.005
 2012 2Q ,109.803
 2012 3Q ,109.852
 2012 4Q ,111.905
 2013 1Q ,109.813
 2013 2Q ,110.697
 2013 3Q ,109.89
 2013 4Q ,110.939
 2014 1Q ,109.115
 2014 2Q ,106.908
 2014 3Q ,108.467
 2014 4Q ,110.876
 2015 1Q ,105.606
 2015 2Q ,101.229
 2015 3Q ,103.275
 2015 4Q ,103.061
 2016 1Q ,102.553
 2016 2Q ,100.153
 2016 3Q ,102.855
 2016 4Q ,101.342
 2017 1Q ,102.547
 2017 2Q ,96.229
 2017 3Q ,100.618
 2017 4Q ,100.606
 2018 1Q ,99.632
 2018 2Q ,96.128
 2018 3Q ,100.616
 2018 4Q ,102.222
 2019 1Q ,100.392
 2019 2Q ,97.862
 2019 3Q ,102.361
 2019 4Q ,104.044
