 Variables , Total 
 1983 Jan ,11.878
 1983 Feb ,9.412
 1983 Mar ,12.009
 1983 Apr ,10.645
 1983 May ,10.775
 1983 Jun ,10.451
 1983 Jul ,11.23
 1983 Aug ,12.333
 1983 Sep ,12.203
 1983 Oct ,12.852
 1983 Nov ,11.424
 1983 Dec ,12.917
 1984 Jan ,13.112
 1984 Feb ,10.905
 1984 Mar ,13.242
 1984 Apr ,11.749
 1984 May ,12.203
 1984 Jun ,12.073
 1984 Jul ,12.333
 1984 Aug ,13.761
 1984 Sep ,12.658
 1984 Oct ,13.242
 1984 Nov ,11.878
 1984 Dec ,13.372
 1985 Jan ,12.917
 1985 Feb ,10.385
 1985 Mar ,12.852
 1985 Apr ,12.139
 1985 May ,11.165
 1985 Jun ,10.126
 1985 Jul ,11.813
 1985 Aug ,11.489
 1985 Sep ,12.139
 1985 Oct ,12.462
 1985 Nov ,10.321
 1985 Dec ,11.684
 1986 Jan ,11.359
 1986 Feb ,9.672
 1986 Mar ,12.917
 1986 Apr ,12.203
 1986 May ,11.878
 1986 Jun ,11.619
 1986 Jul ,12.852
 1986 Aug ,12.917
 1986 Sep ,14.605
 1986 Oct ,14.02
 1986 Nov ,12.528
 1986 Dec ,14.799
 1987 Jan ,12.528
 1987 Feb ,12.462
 1987 Mar ,14.735
 1987 Apr ,13.631
 1987 May ,12.917
 1987 Jun ,14.669
 1987 Jul ,15.124
 1987 Aug ,15.124
 1987 Sep ,16.617
 1987 Oct ,16.617
 1987 Nov ,15.903
 1987 Dec ,17.331
 1988 Jan ,16.227
 1988 Feb ,13.891
 1988 Mar ,18.175
 1988 Apr ,16.487
 1988 May ,15.514
 1988 Jun ,18.24
 1988 Jul ,17.395
 1988 Aug ,18.953
 1988 Sep ,19.279
 1988 Oct ,18.824
 1988 Nov ,17.331
 1988 Dec ,19.928
 1989 Jan ,18.305
 1989 Feb ,14.929
 1989 Mar ,20.576
 1989 Apr ,17.98
 1989 May ,17.85
 1989 Jun ,19.409
 1989 Jul ,18.564
 1989 Aug ,20.836
 1989 Sep ,21.485
 1989 Oct ,20.836
 1989 Nov ,19.732
 1989 Dec ,20.966
 1990 Jan ,18.759
 1990 Feb ,18.305
 1990 Mar ,23.238
 1990 Apr ,18.759
 1990 May ,20.317
 1990 Jun ,21.096
 1990 Jul ,20.836
 1990 Aug ,22.848
 1990 Sep ,23.497
 1990 Oct ,22.783
 1990 Nov ,21.615
 1990 Dec ,22.589
 1991 Jan ,22.524
 1991 Feb ,18.434
 1991 Mar ,25.704
 1991 Apr ,20.836
 1991 May ,21.42
 1991 Jun ,21.615
 1991 Jul ,22.394
 1991 Aug ,23.692
 1991 Sep ,23.497
 1991 Oct ,23.627
 1991 Nov ,21.55
 1991 Dec ,23.173
 1992 Jan ,22.328
 1992 Feb ,18.24
 1992 Mar ,25.769
 1992 Apr ,20.771
 1992 May ,21.225
 1992 Jun ,22.264
 1992 Jul ,23.432
 1992 Aug ,23.822
 1992 Sep ,24.212
 1992 Oct ,23.952
 1992 Nov ,23.173
 1992 Dec ,25.639
 1993 Jan ,21.096
 1993 Feb ,23.497
 1993 Mar ,27.392
 1993 Apr ,23.562
 1993 May ,23.562
 1993 Jun ,24.925
 1993 Jul ,25.25
 1993 Aug ,27.197
 1993 Sep ,27.068
 1993 Oct ,26.353
 1993 Nov ,25.12
 1993 Dec ,27.846
 1994 Jan ,26.159
 1994 Feb ,22.719
 1994 Mar ,31.935
 1994 Apr ,26.549
 1994 May ,26.808
 1994 Jun ,28.3
 1994 Jul ,27.976
 1994 Aug ,30.832
 1994 Sep ,31.935
 1994 Oct ,29.404
 1994 Nov ,28.625
 1994 Dec ,31.026
 1995 Jan ,27.068
 1995 Feb ,25.899
 1995 Mar ,34.597
 1995 Apr ,27.846
 1995 May ,28.949
 1995 Jun ,31.545
 1995 Jul ,31.352
 1995 Aug ,35.116
 1995 Sep ,35.7
 1995 Oct ,32.649
 1995 Nov ,33.104
 1995 Dec ,33.818
 1996 Jan ,33.623
 1996 Feb ,27.522
 1996 Mar ,38.166
 1996 Apr ,31.156
 1996 May ,31.675
 1996 Jun ,31.092
 1996 Jul ,32.065
 1996 Aug ,32.649
 1996 Sep ,33.363
 1996 Oct ,33.493
 1996 Nov ,31.741
 1996 Dec ,33.689
 1997 Jan ,31.805
 1997 Feb ,26.549
 1997 Mar ,35.766
 1997 Apr ,31.871
 1997 May ,31.741
 1997 Jun ,34.532
 1997 Jul ,34.792
 1997 Aug ,34.921
 1997 Sep ,38.166
 1997 Oct ,36.089
 1997 Nov ,34.467
 1997 Dec ,37.063
 1998 Jan ,30.053
 1998 Feb ,30.962
 1998 Mar ,39.27
 1998 Apr ,32.844
 1998 May ,30.702
 1998 Jun ,34.467
 1998 Jul ,32.844
 1998 Aug ,32.649
 1998 Sep ,37.907
 1998 Oct ,33.233
 1998 Nov ,33.299
 1998 Dec ,38.166
 1999 Jan ,33.039
 1999 Feb ,32.13
 1999 Mar ,41.932
 1999 Apr ,34.727
 1999 May ,36.544
 1999 Jun ,41.348
 1999 Jul ,38.751
 1999 Aug ,38.945
 1999 Sep ,43.359
 1999 Oct ,41.282
 1999 Nov ,39.854
 1999 Dec ,40.958
 2000 Jan ,42.451
 2000 Feb ,35.246
 2000 Mar ,43.489
 2000 Apr ,38.037
 2000 May ,43.879
 2000 Jun ,46.085
 2000 Jul ,43.036
 2000 Aug ,46.865
 2000 Sep ,49.656
 2000 Oct ,49.072
 2000 Nov ,46.865
 2000 Dec ,49.201
 2001 Jan ,37.972
 2001 Feb ,40.049
 2001 Mar ,46.475
 2001 Apr ,38.426
 2001 May ,39.465
 2001 Jun ,38.622
 2001 Jul ,37.128
 2001 Aug ,36.934
 2001 Sep ,38.622
 2001 Oct ,38.945
 2001 Nov ,40.763
 2001 Dec ,38.426
 2002 Jan ,39.011
 2002 Feb ,35.246
 2002 Mar ,44.593
 2002 Apr ,41.607
 2002 May ,44.852
 2002 Jun ,45.762
 2002 Jul ,44.139
 2002 Aug ,43.099
 2002 Sep ,43.165
 2002 Oct ,43.749
 2002 Nov ,40.309
 2002 Dec ,46.021
 2003 Jan ,44.333
 2003 Feb ,34.532
 2003 Mar ,47.319
 2003 Apr ,39.984
 2003 May ,40.958
 2003 Jun ,42.97
 2003 Jul ,41.348
 2003 Aug ,47.773
 2003 Sep ,45.696
 2003 Oct ,52.057
 2003 Nov ,43.619
 2003 Dec ,46.345
 2004 Jan ,47.189
 2004 Feb ,44.333
 2004 Mar ,47.579
 2004 Apr ,48.617
 2004 May ,49.007
 2004 Jun ,51.149
 2004 Jul ,48.812
 2004 Aug ,49.72
 2004 Sep ,51.343
 2004 Oct ,52.706
 2004 Nov ,48.228
 2004 Dec ,61.274
 2005 Jan ,52.252
 2005 Feb ,39.595
 2005 Mar ,51.798
 2005 Apr ,50.565
 2005 May ,49.916
 2005 Jun ,56.926
 2005 Jul ,51.798
 2005 Aug ,55.628
 2005 Sep ,62.768
 2005 Oct ,62.702
 2005 Nov ,58.418
 2005 Dec ,64.649
 2006 Jan ,52.252
 2006 Feb ,53.68
 2006 Mar ,64.26
 2006 Apr ,51.538
 2006 May ,54.979
 2006 Jun ,69.648
 2006 Jul ,62.119
 2006 Aug ,58.613
 2006 Sep ,66.856
 2006 Oct ,64.975
 2006 Nov ,68.025
 2006 Dec ,68.349
 2007 Jan ,60.366
 2007 Feb ,56.536
 2007 Mar ,64.26
 2007 Apr ,62.897
 2007 May ,64.13
 2007 Jun ,62.248
 2007 Jul ,77.567
 2007 Aug ,67.246
 2007 Sep ,64.845
 2007 Oct ,67.181
 2007 Nov ,66.077
 2007 Dec ,65.623
 2008 Jan ,65.364
 2008 Feb ,62.312
 2008 Mar ,75.684
 2008 Apr ,59.586
 2008 May ,55.498
 2008 Jun ,63.676
 2008 Jul ,60.561
 2008 Aug ,59.197
 2008 Sep ,66.986
 2008 Oct ,59.002
 2008 Nov ,61.664
 2008 Dec ,56.86
 2009 Jan ,48.552
 2009 Feb ,55.172
 2009 Mar ,51.278
 2009 Apr ,60.041
 2009 May ,58.224
 2009 Jun ,59.457
 2009 Jul ,71.466
 2009 Aug ,66.597
 2009 Sep ,62.702
 2009 Oct ,60.561
 2009 Nov ,55.757
 2009 Dec ,65.558
 2010 Jan ,68.479
 2010 Feb ,66.013
 2010 Mar ,78.15
 2010 Apr ,89.51
 2010 May ,92.366
 2010 Jun ,76.333
 2010 Jul ,78.086
 2010 Aug ,71.206
 2010 Sep ,78.995
 2010 Oct ,78.476
 2010 Nov ,78.735
 2010 Dec ,71.336
 2011 Jan ,86.03
 2011 Feb ,73.299
 2011 Mar ,93.871
 2011 Apr ,83.284
 2011 May ,78.575
 2011 Jun ,86.545
 2011 Jul ,82.331
 2011 Aug ,81.37
 2011 Sep ,84.931
 2011 Oct ,83.66
 2011 Nov ,76.923
 2011 Dec ,89.302
 2012 Jan ,77.464
 2012 Feb ,82.255
 2012 Mar ,90.683
 2012 Apr ,81.674
 2012 May ,83.622
 2012 Jun ,93.232
 2012 Jul ,84.123
 2012 Aug ,79.059
 2012 Sep ,81.867
 2012 Oct ,79.517
 2012 Nov ,79.075
 2012 Dec ,90.74
 2013 Jan ,77.583
 2013 Feb ,69.502
 2013 Mar ,87.429
 2013 Apr ,85.877
 2013 May ,85.784
 2013 Jun ,88.892
 2013 Jul ,86.583
 2013 Aug ,81.85
 2013 Sep ,89.432
 2013 Oct ,86.17
 2013 Nov ,84.445
 2013 Dec ,96.532
 2014 Jan ,80.329
 2014 Feb ,78.601
 2014 Mar ,98.085
 2014 Apr ,90.441
 2014 May ,84.142
 2014 Jun ,89.546
 2014 Jul ,88.873
 2014 Aug ,84.98
 2014 Sep ,88.396
 2014 Oct ,86.446
 2014 Nov ,82.818
