Variables,Total (Excluding Motor Vehicles)
1985 Jan,50.17
1985 Feb,49.768
1985 Mar,46.501
1985 Apr,41.466
1985 May,42.401
1985 Jun,40.943
1985 Jul,40.211
1985 Aug,40.949
1985 Sep,41.267
1985 Oct,39.679
1985 Nov,41.694
1985 Dec,41.669
1986 Jan,42.848
1986 Feb,40.129
1986 Mar,38.15
1986 Apr,38.931
1986 May,39.564
1986 Jun,38.346
1986 Jul,39.756
1986 Aug,38.805
1986 Sep,38.441
1986 Oct,38.645
1986 Nov,38.698
1986 Dec,40.082
1987 Jan,41.487
1987 Feb,43.1
1987 Mar,43.941
1987 Apr,45.391
1987 May,45.952
1987 Jun,48.035
1987 Jul,46.816
1987 Aug,46.919
1987 Sep,47.492
1987 Oct,48.346
1987 Nov,48.195
1987 Dec,47.684
1988 Jan,47.97
1988 Feb,48.682
1988 Mar,49.633
1988 Apr,49.527
1988 May,49.403
1988 Jun,50.148
1988 Jul,51.007
1988 Aug,50.951
1988 Sep,51.602
1988 Oct,52.002
1988 Nov,51.634
1988 Dec,51.854
1989 Jan,52.129
1989 Feb,52.677
1989 Mar,52.945
1989 Apr,52.701
1989 May,52.467
1989 Jun,52.654
1989 Jul,53.831
1989 Aug,55.307
1989 Sep,55.732
1989 Oct,55.341
1989 Nov,56.867
1989 Dec,55.788
1990 Jan,55.118
1990 Feb,55.08
1990 Mar,56.305
1990 Apr,57.18
1990 May,56.843
1990 Jun,58.693
1990 Jul,61.054
1990 Aug,57.362
1990 Sep,54.477
1990 Oct,55.449
1990 Nov,55.948
1990 Dec,56.743
1991 Jan,56.514
1991 Feb,53.569
1991 Mar,54.919
1991 Apr,55.128
1991 May,56.941
1991 Jun,56.311
1991 Jul,56.18
1991 Aug,56.506
1991 Sep,55.803
1991 Oct,58.394
1991 Nov,57.216
1991 Dec,55.15
1992 Jan,57.378
1992 Feb,59.954
1992 Mar,57.775
1992 Apr,58.904
1992 May,57.905
1992 Jun,57.797
1992 Jul,58.66
1992 Aug,60.283
1992 Sep,60.158
1992 Oct,59.264
1992 Nov,59.11
1992 Dec,59.422
1993 Jan,59.701
1993 Feb,58.279
1993 Mar,59.823
1993 Apr,57.939
1993 May,58.693
1993 Jun,59.432
1993 Jul,58.966
1993 Aug,59.144
1993 Sep,60.19
1993 Oct,60.951
1993 Nov,59.805
1993 Dec,61.71
1994 Jan,61.758
1994 Feb,62.654
1994 Mar,73.541
1994 Apr,53.823
1994 May,55.441
1994 Jun,55.795
1994 Jul,59.359
1994 Aug,58.018
1994 Sep,60.264
1994 Oct,60.595
1994 Nov,60.539
1994 Dec,61.14
1995 Jan,60.833
1995 Feb,58.53
1995 Mar,61.35
1995 Apr,60.555
1995 May,62.989
1995 Jun,61.41
1995 Jul,62.692
1995 Aug,62.53
1995 Sep,63.33
1995 Oct,63.141
1995 Nov,63.894
1995 Dec,63.907
1996 Jan,64.92
1996 Feb,66.07
1996 Mar,64.698
1996 Apr,65.175
1996 May,64.478
1996 Jun,65.732
1996 Jul,65.443
1996 Aug,65.458
1996 Sep,67.05
1996 Oct,67.12
1996 Nov,69.222
1996 Dec,68.57
1997 Jan,70.442
1997 Feb,68.358
1997 Mar,68.251
1997 Apr,69.195
1997 May,67.302
1997 Jun,70.125
1997 Jul,72.674
1997 Aug,69.351
1997 Sep,67.417
1997 Oct,67.122
1997 Nov,67.625
1997 Dec,64.914
1998 Jan,63.769
1998 Feb,62.425
1998 Mar,63.585
1998 Apr,65.442
1998 May,62.894
1998 Jun,62.911
1998 Jul,60.526
1998 Aug,61.593
1998 Sep,60.925
1998 Oct,62.545
1998 Nov,61.235
1998 Dec,63.094
1999 Jan,64.408
1999 Feb,65.474
1999 Mar,65.161
1999 Apr,65.82
1999 May,67.631
1999 Jun,67.488
1999 Jul,68.387
1999 Aug,69.171
1999 Sep,69.243
1999 Oct,69.273
1999 Nov,68.747
1999 Dec,68.938
2000 Jan,70.604
2000 Feb,72.105
2000 Mar,71.452
2000 Apr,72.955
2000 May,72.024
2000 Jun,70.812
2000 Jul,73.362
2000 Aug,71.865
2000 Sep,73.893
2000 Oct,72.254
2000 Nov,72.841
2000 Dec,73.16
2001 Jan,72.343
2001 Feb,71.635
2001 Mar,72.113
2001 Apr,71.491
2001 May,71.269
2001 Jun,72.713
2001 Jul,71.256
2001 Aug,74.581
2001 Sep,71.181
2001 Oct,70.311
2001 Nov,72.782
2001 Dec,72.451
2002 Jan,73.163
2002 Feb,71.448
2002 Mar,72.917
2002 Apr,73.507
2002 May,74.258
2002 Jun,72.294
2002 Jul,75.087
2002 Aug,73.833
2002 Sep,73.483
2002 Oct,75.445
2002 Nov,76.177
2002 Dec,76.276
2003 Jan,71.233
2003 Feb,71.274
2003 Mar,72.16
2003 Apr,67.436
2003 May,68.776
2003 Jun,72.635
2003 Jul,70.079
2003 Aug,72.705
2003 Sep,71.967
2003 Oct,74.327
2003 Nov,73.645
2003 Dec,75.913
2004 Jan,73.801
2004 Feb,76.268
2004 Mar,74.706
2004 Apr,75.085
2004 May,76.464
2004 Jun,77.392
2004 Jul,75.585
2004 Aug,75.913
2004 Sep,76.161
2004 Oct,75.831
2004 Nov,77.157
2004 Dec,78.587
2005 Jan,80.565
2005 Feb,79.973
2005 Mar,80.766
2005 Apr,81.461
2005 May,80.402
2005 Jun,81.028
2005 Jul,83.62
2005 Aug,82.169
2005 Sep,82.989
2005 Oct,84.415
2005 Nov,81.026
2005 Dec,81.579
2006 Jan,82.608
2006 Feb,82.087
2006 Mar,83.123
2006 Apr,86.408
2006 May,85.682
2006 Jun,83.546
2006 Jul,84.438
2006 Aug,85.453
2006 Sep,87.495
2006 Oct,85.519
2006 Nov,86.08
2006 Dec,87.076
2007 Jan,88.057
2007 Feb,90.125
2007 Mar,90.203
2007 Apr,91.146
2007 May,91.953
2007 Jun,100.759
2007 Jul,90.293
2007 Aug,91.189
2007 Sep,92.81
2007 Oct,91.79
2007 Nov,93.403
2007 Dec,91.959
2008 Jan,93.677
2008 Feb,90.882
2008 Mar,93.962
2008 Apr,93.308
2008 May,94.184
2008 Jun,92.879
2008 Jul,93.861
2008 Aug,94.77
2008 Sep,93.844
2008 Oct,93.638
2008 Nov,89.758
2008 Dec,91.229
2009 Jan,85.335
2009 Feb,87.76
2009 Mar,89.115
2009 Apr,89.61
2009 May,89.92
2009 Jun,92.042
2009 Jul,92.062
2009 Aug,91.716
2009 Sep,92.992
2009 Oct,91.826
2009 Nov,91.581
2009 Dec,92.929
2010 Jan,93.879
2010 Feb,94.108
2010 Mar,95.085
2010 Apr,93.863
2010 May,94.671
2010 Jun,94.315
2010 Jul,95.292
2010 Aug,96.31
2010 Sep,97.302
2010 Oct,96.589
2010 Nov,98.48
2010 Dec,98.908
2011 Jan,99.02
2011 Feb,97.84
2011 Mar,98.589
2011 Apr,100.63
2011 May,100.986
2011 Jun,101.18
2011 Jul,103.308
2011 Aug,100.354
2011 Sep,98.2
2011 Oct,102.035
2011 Nov,102.284
2011 Dec,104.009
2012 Jan,100.093
2012 Feb,101.062
2012 Mar,102.404
2012 Apr,102.707
2012 May,102.291
2012 Jun,103.031
2012 Jul,102.587
2012 Aug,102.556
2012 Sep,102.094
2012 Oct,103.818
2012 Nov,103.071
2012 Dec,101.873
2013 Jan,100.785
2013 Feb,106.654
2013 Mar,103.472
2013 Apr,104.617
2013 May,104.849
2013 Jun,106.023
2013 Jul,104.96
2013 Aug,104.56
2013 Sep,102.842
2013 Oct,103.165
2013 Nov,102.598
2013 Dec,104.034
2014 Jan,103.25
2014 Feb,104.004
2014 Mar,102.365
2014 Apr,102.874
2014 May,101.512
2014 Jun,102.341
2014 Jul,101.613
2014 Aug,102.228
2014 Sep,103.602
2014 Oct,106.124
2014 Nov,103.617
2014 Dec,104.301
2015 Jan,104.156
2015 Feb,103.692
2015 Mar,103.245
2015 Apr,102.714
2015 May,102.4
2015 Jun,101.391
2015 Jul,102.265
2015 Aug,104.408
2015 Sep,101.968
2015 Oct,100.366
2015 Nov,100.732
2015 Dec,100.083
2016 Jan,99.79
2016 Feb,96.716
2016 Mar,98.691
2016 Apr,97.563
2016 May,99.376
2016 Jun,97.938
2016 Jul,98.899
2016 Aug,98.294
2016 Sep,97.837
2016 Oct,98.851
2016 Nov,98.201
2016 Dec,98.549
2017 Jan,98.608
2017 Feb,100.349
2017 Mar,98.634
2017 Apr,99.547
2017 May,99.675
2017 Jun,100.928
2017 Jul,100.215
2017 Aug,100.635
2017 Sep,99.434
2017 Oct,99.625
2017 Nov,100.828
2017 Dec,101.036
2018 Jan,100.732
2018 Feb,101.266
2018 Mar,101.806
2018 Apr,100.779
2018 May,101.335
2018 Jun,100.075
2018 Jul,100.474
2018 Aug,100.94
2018 Sep,100.817
2018 Oct,100.71
2018 Nov,101.671
2018 Dec,98.158
2019 Jan,99.023
2019 Feb,98.867
2019 Mar,99.089
2019 Apr,99.989
2019 May,99.049
2019 Jun,98.946
2019 Jul,99.428
2019 Aug,99.126
2019 Sep,99.742
2019 Oct,99.644
2019 Nov,98.895
2019 Dec,98.316
2020 Jan,95.843
2020 Feb,86.928
