"","services_changes","services_changes_SA","services_rate","services_rate_SA"
"1",28000,28006.84971021,0.6,0.76698312296858
"2",24400,26802.1544598216,0.7,0.720591969167158
"3",25900,28970.2808135025,0.9,0.779411240859123
"4",34400,28869.2749873662,0.9,0.832763135399595
"5",33700,33738.211665237,0.7,0.866633239462106
"6",36800,39253.8894058433,1,1.02069316980644
"7",34100,37179.4131516479,1.1,0.981190785671939
"8",38500,32876.0424481176,0.9,0.831277272238871
"9",46500,46570.723556866,0.8,0.966257292501947
"10",38300,40804.734153518,0.9,0.920771131863959
"11",34300,37385.8871607607,1,0.882938318269507
"12",17300,11582.0599088852,0.7,0.629738319033928
"13",8400,8478.45186666091,0.2,0.365814265328577
"14",5000,7715.69881332781,0.4,0.420891677571672
"15",12300,15433.2194965675,0.7,0.585529160984498
"16",31600,25472.6302847544,0.8,0.727349214195374
"17",31200,31309.7701407694,0.8,0.965450358858134
"18",24500,27384.2748834279,0.8,0.821095348284821
"19",19900,22953.25419261,0.9,0.788085113422417
"20",34700,27972.8429987051,0.9,0.824675770199754
"21",23800,24978.5935421382,0.6,0.762110190466281
"22",18300,21255.0745466719,0.8,0.823669174008811
"23",21400,24359.0916897166,1,0.897226299891824
"24",30700,22669.3303076788,0.9,0.815896546651409
"25",19300,21667.6200505857,0.5,0.659073162960101
"26",16600,19770.6620930052,0.7,0.727268452143412
"27",12100,15120.2044648629,0.7,0.608069436549288
"28",30600,21418.1518116729,0.7,0.609140835349211
"29",19300,22153.0070918137,0.5,0.645835991476966
"30",20800,24279.1080155055,0.6,0.629678978789987
"31",18300,20869.3712032828,0.7,0.618649237121788
"32",32800,23709.7313284353,0.7,0.614467102876399
"33",21400,24585.0971664602,0.4,0.530457484507205
"34",27500,31186.2877562258,0.6,0.630276380672921
"35",29500,31603.0329177292,0.7,0.628129370079844
"36",40100,31159.5357385436,0.8,0.719495984954903
"37",1800,4864.59905542103,0.6,0.719329135743892
"38",9800,13801.1529629541,0.6,0.630180006266506
"39",13100,14668.0048165212,0.7,0.630813833865564
"40",20900,12358.0759587684,0.7,0.6263863409186
"41",11300,14224.5706183017,0.5,0.608930243723174
"42",7600,11888.3777472209,0.5,0.530121103625819
"43",6700,7705.84385365225,0.5,0.432881415214627
"44",17200,9031.51634469728,0.5,0.43228654013056
"45",8600,11508.4655810853,0.3,0.404175355369298
"46",6800,11161.5899221166,0.3,0.3299995942792
"47",10400,11189.8269038979,0.5,0.433929418603847
"48",20200,12155.6674098768,0.6,0.534377780965163
"49",13100,16001.7719365349,0.5,0.600085623714211
"50",7200,11647.4440828594,0.6,0.630377829888588
"51",16400,16984.676202086,0.6,0.535186780221428
"52",18200,10286.6032149049,0.5,0.436445789875109
"53",16400,19279.2520102217,0.6,0.696892946080564
"54",4700,9216.91944976187,0.5,0.530641057101754
"55",19600,20035.1076005353,0.6,0.536131112933105
"56",14400,6598.66912170815,0.5,0.438237523669439
