"","RSI Chained","Tourism","CPI","IPI","ULC","AICc","CV","AdjR2"
"1",0,0,0,0,0,NA,NA,NA
"2",0,0,0,0,1,303.300084512768,12.728461541568,-0.00825804737596059
"3",0,0,0,1,0,289.098087831615,11.1949722230264,0.105168971638207
"4",0,0,0,1,1,291.206109025478,11.537315886587,0.097713960028371
"5",0,0,1,0,0,291.688014757232,11.4165849764197,0.0854803112383533
"6",0,0,1,0,1,293.760869352145,11.780304342181,0.0781337375615926
"7",0,0,1,1,0,278.532306435483,10.2758316579273,0.188869426284896
"8",0,0,1,1,1,280.698932161728,10.6033457613776,0.181908728280061
"9",0,1,0,0,0,295.074678511779,11.6745377594561,0.0590797775784275
"10",0,1,0,0,1,297.200069213266,11.9674789541463,0.0511022947792917
"11",0,1,0,1,0,282.884774433321,10.5753030589721,0.15865280908836
"12",0,1,0,1,1,285.006367521234,10.8295819381454,0.151753866630396
"13",0,1,1,0,0,284.137954181461,10.6806046061734,0.149745830197166
"14",0,1,1,0,1,286.274460052195,10.9638970345766,0.142666419447084
"15",0,1,1,1,0,270.776606670072,9.59381411661546,0.247355486266406
"16",0,1,1,1,1,272.965182377765,9.83568993564335,0.24094759974081
"17",1,0,0,0,0,272.810044556934,9.83551564112141,0.219635910573062
"18",1,0,0,0,1,274.803912940606,10.0776746649223,0.213888997721002
"19",1,0,0,1,0,263.190122717615,9.08120192194879,0.286984520249894
"20",1,0,0,1,1,265.368443348718,9.32087196405182,0.280795117150179
"21",1,0,1,0,0,269.08191275452,9.46058787758822,0.250794005638504
"22",1,0,1,0,1,271.080274828179,9.69732439414619,0.245432410321228
"23",1,0,1,1,0,258.48801447341,8.68435496163016,0.321199315084212
"24",1,0,1,1,1,260.701830412431,8.91706434228387,0.315274905575963
"25",1,1,0,0,0,271.351382079461,9.65530055808867,0.236368653194368
"26",1,1,0,0,1,273.418599227824,9.86850905328019,0.230458686077385
"27",1,1,0,1,0,261.500156731255,8.88955095245491,0.303798129443324
"28",1,1,0,1,1,263.719013150981,9.09341936362748,0.297692099549803
"29",1,1,1,0,0,266.535715838142,9.21193488883908,0.273705714275021
"30",1,1,1,0,1,268.614957691653,9.41888420233206,0.268194840052832
"31",1,1,1,1,0,255.538209755919,8.41777768518157,0.344350947084385
"32",1,1,1,1,1,257.79709874981,8.6114873639007,0.338549410169649
