"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","CV"
"1",0,0,0,0,0,0,0,0,NA,NA
"2",0,0,0,0,0,0,0,1,303.300084512768,12.728461541568
"3",0,0,0,0,0,0,1,0,289.098087831615,11.1949722230264
"4",0,0,0,0,0,0,1,1,291.206109025478,11.537315886587
"5",0,0,0,0,0,1,0,0,291.688014757232,11.4165849764197
"6",0,0,0,0,0,1,0,1,293.760869352145,11.780304342181
"7",0,0,0,0,0,1,1,0,278.532306435483,10.2758316579273
"8",0,0,0,0,0,1,1,1,280.698932161728,10.6033457613776
"9",0,0,0,0,1,0,0,0,303.011026788694,12.861074191889
"10",0,0,0,0,1,0,0,1,305.078517502526,13.285617952604
"11",0,0,0,0,1,0,1,0,290.608398839598,11.5955783643508
"12",0,0,0,0,1,0,1,1,292.78361662668,11.9910503744775
"13",0,0,0,0,1,1,0,0,293.83018075558,11.8999180222403
"14",0,0,0,0,1,1,0,1,295.939696937354,12.2921079215527
"15",0,0,0,0,1,1,1,0,280.669117178721,10.6789935352932
"16",0,0,0,0,1,1,1,1,282.880586495014,11.0362922702056
"17",0,0,0,1,0,0,0,0,303.003059057489,12.8161651174139
"18",0,0,0,1,0,0,0,1,305.054881516416,13.2469845004397
"19",0,0,0,1,0,0,1,0,290.195162294084,11.5545103613054
"20",0,0,0,1,0,0,1,1,292.375255348859,11.9614066164932
"21",0,0,0,1,0,1,0,0,293.7943632017,11.8518233230254
"22",0,0,0,1,0,1,0,1,295.920946815643,12.2528532525658
"23",0,0,0,1,0,1,1,0,280.651764050958,10.6752745703985
"24",0,0,0,1,0,1,1,1,282.865566672671,11.0399220877691
"25",0,0,0,1,1,0,0,0,305.090441492545,13.0478202487343
"26",0,0,0,1,1,0,0,1,307.176691611771,13.4922418828557
"27",0,0,0,1,1,0,1,0,292.361367106425,11.744633617814
"28",0,0,0,1,1,0,1,1,294.580369400514,12.1625147436361
"29",0,0,0,1,1,1,0,0,295.944685698196,12.0691584783501
"30",0,0,0,1,1,1,0,1,298.108187711482,12.4815702491751
"31",0,0,0,1,1,1,1,0,282.867846202913,10.852184765599
"32",0,0,0,1,1,1,1,1,285.121837238848,11.225831685233
"33",0,0,1,0,0,0,0,0,295.074678511779,11.6745377594561
"34",0,0,1,0,0,0,0,1,297.200069213266,11.9674789541463
"35",0,0,1,0,0,0,1,0,282.884774433321,10.5753030589721
"36",0,0,1,0,0,0,1,1,285.006367521234,10.8295819381454
"37",0,0,1,0,0,1,0,0,284.137954181461,10.6806046061734
"38",0,0,1,0,0,1,0,1,286.274460052195,10.9638970345766
"39",0,0,1,0,0,1,1,0,270.776606670072,9.59381411661546
"40",0,0,1,0,0,1,1,1,272.965182377765,9.83568993564335
"41",0,0,1,0,1,0,0,0,297.013048167243,12.1817820423669
"42",0,0,1,0,1,0,0,1,299.153049468,12.5114020288225
"43",0,0,1,0,1,0,1,0,284.603485154492,10.9756304788675
"44",0,0,1,0,1,0,1,1,286.801800676413,11.2736135738076
"45",0,0,1,0,1,1,0,0,286.289439717,11.1450589858019
"46",0,0,1,0,1,1,0,1,288.474047288582,11.4430963640359
"47",0,0,1,0,1,1,1,0,272.993820668763,9.98369399592267
"48",0,0,1,0,1,1,1,1,275.223890250688,10.2427936714329
"49",0,0,1,1,0,0,0,0,296.961155747828,12.132911028104
"50",0,0,1,1,0,0,0,1,299.087814749034,12.4666957193976
"51",0,0,1,1,0,0,1,0,284.152989810549,10.9253152296883
"52",0,0,1,1,0,0,1,1,286.367360507446,11.2343507028247
"53",0,0,1,1,0,1,0,0,286.218441617959,11.095631694289
"54",0,0,1,1,0,1,0,1,288.414704624015,11.3984094341508
"55",0,0,1,1,0,1,1,0,272.980917033758,9.9728359837173
"56",0,0,1,1,0,1,1,1,275.215945724821,10.2374548850399
"57",0,0,1,1,1,0,0,0,299.121965784262,12.3622919645834
"58",0,0,1,1,1,0,0,1,301.28590352491,12.7069686183309
"59",0,0,1,1,1,0,1,0,286.371512634441,11.1145585357832
"60",0,0,1,1,1,0,1,1,288.625945956404,11.4322306377722
"61",0,0,1,1,1,1,0,0,288.433342629349,11.3065253661379
"62",0,0,1,1,1,1,0,1,290.669076475999,11.6178110179297
"63",0,0,1,1,1,1,1,0,275.236869867694,10.1444550696124
"64",0,0,1,1,1,1,1,1,277.512471624555,10.4156062897937
"65",0,1,0,0,0,0,0,0,272.810044556934,9.83551564112141
"66",0,1,0,0,0,0,0,1,274.803912940606,10.0776746649223
