Variables,Total Changes In Employment,Accommodation & Food Services
1991 1Q,"8,500",
1991 2Q,"15,800",
1991 3Q,"15,500",
1991 4Q,"12,600",
1992 1Q,"15,900",
1992 2Q,"6,200",
1992 3Q,"7,700",
1992 4Q,"10,500",
1993 1Q,"15,900",
1993 2Q,"10,300",
1993 3Q,"18,600",
1993 4Q,"25,900",
1994 1Q,"9,000",
1994 2Q,"28,900",
1994 3Q,"7,900",
1994 4Q,"26,300",
1995 1Q,"14,200",
1995 2Q,"27,100",
1995 3Q,"20,400",
1995 4Q,"47,300",
1996 1Q,"17,400",
1996 2Q,"23,300",
1996 3Q,"22,100",
1996 4Q,"39,800",
1997 1Q,"16,200",
1997 2Q,"37,200",
1997 3Q,"31,100",
1997 4Q,"35,800",
1998 1Q,"9,100",
1998 2Q,"-5,900",
1998 3Q,"-20,300",
1998 4Q,"-6,300",
1999 1Q,"-9,600",
1999 2Q,"15,500",
1999 3Q,"7,700",
1999 4Q,"26,300",
2000 1Q,"13,700",
2000 2Q,"29,700",
2000 3Q,"30,000",
2000 4Q,"35,100",
2001 1Q,"23,200",
2001 2Q,"3,300",
2001 3Q,"-12,500",
2001 4Q,"-14,100",
2002 1Q,"-10,300",-1800
2002 2Q,"-3,800",100
2002 3Q,"-8,500",-500
2002 4Q,-300,5500
2003 1Q,"-4,100",-1400
2003 2Q,"-26,000",-5800
2003 3Q,900,4100
2003 4Q,"16,200",5100
2004 1Q,"13,700",-600
2004 2Q,"10,900",500
2004 3Q,"14,100",-300
2004 4Q,"32,700",4500
2005 1Q,"17,800",-1200
2005 2Q,"31,700",400
2005 3Q,"28,500",900
2005 4Q,"35,300",5600
2006 1Q,"45,000",1100
2006 2Q,"36,400",1500
2006 3Q,"43,000",1200
2006 4Q,"51,500",8700
2007 1Q,"49,400",1800
2007 2Q,"64,400",4600
2007 3Q,"58,600",2500
2007 4Q,"62,500",7400
2008 1Q,"73,200",3400
2008 2Q,"71,400",2800
2008 3Q,"55,700",4200
2008 4Q,"21,300",6400
2009 1Q,"-6,200",-2600
2009 2Q,"-7,700",-1600
2009 3Q,"13,900",400
2009 4Q,"37,500",6100
2010 1Q,"36,500",3200
2010 2Q,"24,900",1000
2010 3Q,"20,500",2400
2010 4Q,"33,900",9000
2011 1Q,"28,300",300
2011 2Q,"24,800",600
2011 3Q,"31,900",2900
2011 4Q,"37,600",6400
2012 1Q,"27,200",-2400
2012 2Q,"31,700",-800
2012 3Q,"26,200",1800
2012 4Q,"44,000",8600
2013 1Q,"28,900",-900
2013 2Q,"33,700",100
2013 3Q,"33,100",1300
2013 4Q,"40,600",7000
2014 1Q,"28,400",900
2014 2Q,"27,700",800
2014 3Q,"33,400",2400
2014 4Q,"40,700",6100
2015 1Q,"-6,100",-1000
2015 2Q,"9,700",0
2015 3Q,"12,600",1500
2015 4Q,"16,100",4700
2016 1Q,"13,000",-100
2016 2Q,"4,200",-100
2016 3Q,"-2,700",800
2016 4Q,"2,300",4700
2017 1Q,"-6,800",-300
2017 2Q,"-7,300",-400
2017 3Q,"-2,300",1200
2017 4Q,"12,700",2900
2018 1Q,"3,700",-1100
2018 2Q,"6,500",-1600
2018 3Q,"19,300",1000
2018 4Q,"15,900",3000
2019 1Q,"13,400",300
2019 2Q,"5,500",400
2019 3Q,"26,000",1700
2019 4Q,"20,100",2700
