Variables,Total (Excluding Motor Vehicles)
1985 Jan,44.011
1985 Feb,44.004
1985 Mar,39.815
1985 Apr,33.249
1985 May,35.205
1985 Jun,33.108
1985 Jul,33.023
1985 Aug,34.709
1985 Sep,33.034
1985 Oct,32.534
1985 Nov,34.861
1985 Dec,40.883
1986 Jan,39.367
1986 Feb,33.02
1986 Mar,31.64
1986 Apr,29.546
1986 May,31.664
1986 Jun,29.402
1986 Jul,31.343
1986 Aug,31.39
1986 Sep,30.272
1986 Oct,31.186
1986 Nov,32.121
1986 Dec,39.202
1987 Jan,40.003
1987 Feb,33.595
1987 Mar,37.013
1987 Apr,35.456
1987 May,38.324
1987 Jun,37.497
1987 Jul,38.138
1987 Aug,39.413
1987 Sep,38.339
1987 Oct,39.988
1987 Nov,40.936
1987 Dec,47.891
1988 Jan,42.55
1988 Feb,42.544
1988 Mar,42.481
1988 Apr,39.051
1988 May,41.488
1988 Jun,39.925
1988 Jul,42.151
1988 Aug,43.386
1988 Sep,42.119
1988 Oct,42.993
1988 Nov,44.072
1988 Dec,52.462
1989 Jan,49.951
1989 Feb,41.644
1989 Mar,44.951
1989 Apr,42.106
1989 May,43.547
1989 Jun,42.442
1989 Jul,44.91
1989 Aug,47.471
1989 Sep,45.75
1989 Oct,46.3
1989 Nov,49.459
1989 Dec,57.988
1990 Jan,55.045
1990 Feb,44.57
1990 Mar,48.718
1990 Apr,46.276
1990 May,46.751
1990 Jun,46.685
1990 Jul,49.353
1990 Aug,49.4
1990 Sep,46.006
1990 Oct,47.514
1990 Nov,48.464
1990 Dec,58.952
1991 Jan,52.132
1991 Feb,46.528
1991 Mar,47.064
1991 Apr,44.823
1991 May,47.308
1991 Jun,46.772
1991 Jul,47.601
1991 Aug,48.818
1991 Sep,46.334
1991 Oct,49.452
1991 Nov,49.452
1991 Dec,58.465
1992 Jan,58.514
1992 Feb,47.113
1992 Mar,50.865
1992 Apr,46.48
1992 May,47.747
1992 Jun,47.503
1992 Jul,49.549
1992 Aug,50.62
1992 Sep,49.159
1992 Oct,49.5
1992 Nov,50.67
1992 Dec,61.875
1993 Jan,60.046
1993 Feb,46.946
1993 Mar,52.589
1993 Apr,45.539
1993 May,49.182
1993 Jun,49.344
1993 Jul,50.479
1993 Aug,50.407
1993 Sep,50.432
1993 Oct,52.137
1993 Nov,52.584
1993 Dec,66.59
1994 Jan,62.271
1994 Feb,53.395
1994 Mar,65.381
1994 Apr,42.962
1994 May,47.379
1994 Jun,47.455
1994 Jul,53.25
1994 Aug,51.312
1994 Sep,51.643
1994 Oct,52.884
1994 Nov,53.992
1994 Dec,66.435
1995 Jan,66.575
1995 Feb,47.538
1995 Mar,53.662
1995 Apr,48.314
1995 May,53.196
1995 Jun,51.872
1995 Jul,55.6
1995 Aug,53.992
1995 Sep,53.195
1995 Oct,53.863
1995 Nov,56.488
1995 Dec,68.349
1996 Jan,62.935
1996 Feb,60.256
1996 Mar,55.539
1996 Apr,51.605
1996 May,54.445
1996 Jun,55.48
1996 Jul,58.717
1996 Aug,54.913
1996 Sep,55.808
1996 Oct,57.163
1996 Nov,61.209
1996 Dec,72.931
1997 Jan,73.143
1997 Feb,56.547
1997 Mar,58.006
1997 Apr,54.819
1997 May,56.95
1997 Jun,58.68
1997 Jul,64.017
1997 Aug,57.468
1997 Sep,55.305
1997 Oct,56.246
1997 Nov,59.199
1997 Dec,68.153
1998 Jan,68.303
1998 Feb,49.045
1998 Mar,53.585
1998 Apr,51.896
1998 May,53.25
1998 Jun,53.013
1998 Jul,52.709
1998 Aug,50.835
1998 Sep,49.322
1998 Oct,51.74
1998 Nov,53.058
1998 Dec,65.673
1999 Jan,61.773
1999 Feb,55.3
1999 Mar,53.811
1999 Apr,51.398
1999 May,56.597
1999 Jun,57.91
1999 Jul,56.609
1999 Aug,55.881
1999 Sep,54.68
1999 Oct,56.362
1999 Nov,58.945
1999 Dec,72.199
2000 Jan,72.211
2000 Feb,55.321
2000 Mar,59.108
2000 Apr,56.797
2000 May,59.475
2000 Jun,59.346
2000 Jul,61.125
2000 Aug,58.153
2000 Sep,58.513
2000 Oct,59.399
2000 Nov,62.36
2000 Dec,78.148
2001 Jan,71.446
2001 Feb,55.081
2001 Mar,59.767
2001 Apr,55.863
2001 May,59.178
2001 Jun,60.148
2001 Jul,60.026
2001 Aug,59.996
2001 Sep,56.042
2001 Oct,57.344
2001 Nov,61.658
2001 Dec,76.923
2002 Jan,67.786
2002 Feb,57.024
2002 Mar,59.964
2002 Apr,56.819
2002 May,61.164
2002 Jun,60.161
2002 Jul,61.809
2002 Aug,59.287
2002 Sep,57.771
2002 Oct,61.799
2002 Nov,65.387
2002 Dec,80.253
2003 Jan,73.713
2003 Feb,51.646
2003 Mar,59.903
2003 Apr,52.547
2003 May,56.415
2003 Jun,60.855
2003 Jul,58.828
2003 Aug,59.045
2003 Sep,57.178
2003 Oct,61.891
2003 Nov,64.344
2003 Dec,80.653
2004 Jan,74.193
2004 Feb,59.748
2004 Mar,63.423
2004 Apr,60.334
2004 May,64.877
2004 Jun,65.863
2004 Jul,64.942
2004 Aug,63.231
2004 Sep,62.709
2004 Oct,65.151
2004 Nov,68.035
2004 Dec,84.163
2005 Jan,79.412
2005 Feb,64.157
2005 Mar,69.105
2005 Apr,65.936
2005 May,68.872
2005 Jun,69.102
2005 Jul,71.535
2005 Aug,69.005
2005 Sep,68.982
2005 Oct,74.112
2005 Nov,70.608
2005 Dec,88.664
2006 Jan,87.044
2006 Feb,64.63
2006 Mar,72.651
2006 Apr,71.817
2006 May,76.435
2006 Jun,72.916
2006 Jul,74.536
2006 Aug,72.856
2006 Sep,73.383
2006 Oct,75.614
2006 Nov,74.118
2006 Dec,93.753
2007 Jan,83.723
2007 Feb,78.306
2007 Mar,78.804
2007 Apr,75.942
2007 May,82.058
2007 Jun,88.031
2007 Jul,80.336
2007 Aug,79.095
2007 Sep,80.572
2007 Oct,83.411
2007 Nov,84.06
2007 Dec,103.109
2008 Jan,97.47
2008 Feb,81.016
2008 Mar,88.653
2008 Apr,81.889
2008 May,88.932
2008 Jun,86.717
2008 Jul,87.66
2008 Aug,87.924
2008 Sep,87.176
2008 Oct,86.345
2008 Nov,82.761
2008 Dec,100.721
2009 Jan,94.893
2009 Feb,72.85
2009 Mar,82.901
2009 Apr,79.158
2009 May,84.578
2009 Jun,84.881
2009 Jul,85.867
2009 Aug,85.751
2009 Sep,85.98
2009 Oct,85.452
2009 Nov,85.905
2009 Dec,103.994
2010 Jan,96.039
2010 Feb,87.027
2010 Mar,88.342
2010 Apr,84.83
2010 May,90.606
2010 Jun,87.888
2010 Jul,90.182
2010 Aug,90.193
2010 Sep,90.376
2010 Oct,91.376
2010 Nov,93.252
2010 Dec,113.282
2011 Jan,111.71
2011 Feb,84.688
2011 Mar,94.411
2011 Apr,93.636
2011 May,97.74
2011 Jun,97.195
2011 Jul,99.853
2011 Aug,97.068
2011 Sep,93.051
2011 Oct,99.183
2011 Nov,98.491
2011 Dec,121.938
2012 Jan,115.663
2012 Feb,91.779
2012 Mar,100.36
2012 Apr,96.604
2012 May,98.591
2012 Jun,99.567
2012 Jul,99.129
2012 Aug,100.251
2012 Sep,96.975
2012 Oct,100.243
2012 Nov,100.13
2012 Dec,121.132
2013 Jan,109.31
2013 Feb,100.614
2013 Mar,101.293
2013 Apr,96.715
2013 May,101.232
2013 Jun,101.926
2013 Jul,101.165
2013 Aug,101.86
2013 Sep,96.522
2013 Oct,98.952
2013 Nov,100.52
2013 Dec,121.595
2014 Jan,120.084
2014 Feb,90.822
2014 Mar,99.9
2014 Apr,94.846
2014 May,99.642
2014 Jun,98.868
2014 Jul,99.736
2014 Aug,99.771
2014 Sep,95.854
2014 Oct,102.613
2014 Nov,101.382
2014 Dec,121.557
2015 Jan,109.284
2015 Feb,102.88
2015 Mar,96.643
2015 Apr,94.168
2015 May,100.208
2015 Jun,96.177
2015 Jul,100.509
2015 Aug,101.667
2015 Sep,94.086
2015 Oct,98.097
2015 Nov,99.447
2015 Dec,117.048
2016 Jan,111.275
2016 Feb,93.751
2016 Mar,94.791
2016 Apr,90.798
2016 May,97.108
2016 Jun,93.923
2016 Jul,97.445
2016 Aug,95.388
2016 Sep,92.064
2016 Oct,97.49
2016 Nov,96.94
2016 Dec,117.769
2017 Jan,114.388
2017 Feb,89.545
2017 Mar,95.871
2017 Apr,93.002
2017 May,97.047
2017 Jun,97.375
2017 Jul,98.615
2017 Aug,98.315
2017 Sep,94.896
2017 Oct,98.556
2017 Nov,101.575
2017 Dec,120.814
2018 Jan,106.376
2018 Feb,101.979
2018 Mar,98.557
2018 Apr,94.431
2018 May,99.209
2018 Jun,97.141
2018 Jul,98.882
2018 Aug,100.614
2018 Sep,96.381
2018 Oct,99.384
2018 Nov,102.508
2018 Dec,117.312
2019 Jan,112.158
2019 Feb,91.515
2019 Mar,97.826
2019 Apr,92.874
2019 May,98.865
2019 Jun,94.734
2019 Jul,96.879
2019 Aug,99.428
2019 Sep,96.21
2019 Oct,98.782
2019 Nov,101.429
2019 Dec,117.293
2020 Jan,112.822
2020 Feb,82.19
