 Variables , Total ,     Restaurants ,     Fast Food Outlets ,     Food Caterers ,"     Cafes, Food Courts & Other Eating Places * "
 1985 Jan ,76.25,97.246,29.278,,87.569
 1985 Feb ,78.315,96.216,29.501,,88.407
 1985 Mar ,74.293,88.005,28.431,,90.822
 1985 Apr ,72.129,86.832,27.181,,86.322
 1985 May ,69.949,83.583,25.76,,87.769
 1985 Jun ,77.516,94.288,28.482,,88.644
 1985 Jul ,69.415,80.654,27.564,,87.358
 1985 Aug ,69.246,79.572,28.105,,88.892
 1985 Sep ,70.898,83.456,29.462,,87.251
 1985 Oct ,70.195,83.84,26.731,,87.578
 1985 Nov ,69.936,83.082,27.606,,87.325
 1985 Dec ,67.634,77.535,27.723,,86.61
 1986 Jan ,70.188,89.968,26.791,,76.895
 1986 Feb ,69.395,86.683,27.23,,73.37
 1986 Mar ,65.348,77.842,27.988,,80.451
 1986 Apr ,66.518,79.443,25.367,,80.828
 1986 May ,66.957,80.933,28.374,,77.235
 1986 Jun ,67.124,79.555,28.75,,77.486
 1986 Jul ,67.45,81.105,28.232,,79.586
 1986 Aug ,68.417,83.306,30.982,,77.66
 1986 Sep ,68.452,84.248,27.876,,78.293
 1986 Oct ,61.846,70.998,28.414,,78.573
 1986 Nov ,63.714,74.218,27.772,,79.255
 1986 Dec ,64.882,74.897,28.074,,81.582
 1987 Jan ,64.764,74.853,27.616,,78.725
 1987 Feb ,66.563,78.457,25.761,,82.745
 1987 Mar ,68.203,83.31,27.952,,81.76
 1987 Apr ,69.236,82.434,29.338,,83.713
 1987 May ,71.347,85.144,29.169,,83.754
 1987 Jun ,71.018,84.797,28.875,,84.825
 1987 Jul ,69.851,84.373,28.85,,83.424
 1987 Aug ,72.574,86.752,32.908,,84.944
 1987 Sep ,70.252,81.417,33.224,,84.922
 1987 Oct ,75.058,90.757,33.498,,85.586
 1987 Nov ,73.775,88.14,34.248,,85.332
 1987 Dec ,76.889,93.645,34.538,,85.203
 1988 Jan ,77.148,95.105,35.612,,87.445
 1988 Feb ,76.357,91.292,35.248,,86.829
 1988 Mar ,78.451,93.702,35.952,,87.808
 1988 Apr ,78.791,95.977,36.524,,87.224
 1988 May ,79.521,94.763,36.359,,90.235
 1988 Jun ,79.966,98.433,34.027,,88.53
 1988 Jul ,81.003,99.399,37.605,,88.23
 1988 Aug ,79.494,97.413,35.657,,89.347
 1988 Sep ,79.522,94.979,36.811,,90.069
 1988 Oct ,81.11,97.662,38.554,,91.096
 1988 Nov ,82.91,101.271,38.416,,91.448
 1988 Dec ,83.773,101.076,39.87,,91.705
 1989 Jan ,85.686,104.465,40.545,,90.03
 1989 Feb ,86.062,105.222,41.914,,90.957
 1989 Mar ,86.819,106.765,41.005,,94.439
 1989 Apr ,88.457,108.904,39.192,,94.762
 1989 May ,86.054,107.551,37.011,,94.604
 1989 Jun ,87.472,107.608,38.828,,94.849
 1989 Jul ,90.359,111.075,43.053,,97.316
 1989 Aug ,88.741,108.507,42.102,,96.767
 1989 Sep ,91.887,111.171,42.878,,99.63
 1989 Oct ,88.261,106.196,41.943,,98.725
 1989 Nov ,89.075,108.091,42.642,,98.442
 1989 Dec ,89.369,106.931,42.89,,98.662
 1990 Jan ,90.672,108.233,43.961,,99.398
 1990 Feb ,93.491,116.19,42.355,,100.375
 1990 Mar ,92.351,112.792,44.13,,98.445
 1990 Apr ,91.517,110.095,45.594,,99.885
 1990 May ,93.295,114.078,45.135,,100.495
 1990 Jun ,91.65,109.571,46.739,,100.009
 1990 Jul ,91.877,109.859,46.222,,102.182
 1990 Aug ,93.941,114.857,47.204,,100.961
 1990 Sep ,90.833,106.974,45.677,,100.428
 1990 Oct ,93.761,114.66,46.996,,100.556
 1990 Nov ,95.224,115.239,46.758,,102.403
 1990 Dec ,95.227,115.225,45.774,,102.082
 1991 Jan ,91.117,112.514,44.678,,101.777
 1991 Feb ,88.232,103.145,43.924,,100.296
 1991 Mar ,88.68,101.239,45.025,,99.967
 1991 Apr ,93.554,113.599,46.308,,101.557
 1991 May ,93.758,112.288,45.878,,105.039
 1991 Jun ,99.032,120.012,50.049,,105.975
 1991 Jul ,95.31,116.646,46.841,,104.317
 1991 Aug ,95.458,114.089,47.856,,107.67
 1991 Sep ,97.582,115.857,47.484,,107.42
 1991 Oct ,96.826,116.976,47.604,,107.193
 1991 Nov ,98.045,117.149,47.775,,108.086
 1991 Dec ,98.588,116.779,47.727,,109.301
 1992 Jan ,99.385,119.45,47.5,,109.161
 1992 Feb ,99.033,118.852,52.384,,110.362
 1992 Mar ,96.8,110.999,49.354,,108.886
 1992 Apr ,99.881,122.718,50.109,,110.13
 1992 May ,98.197,116.392,50.638,,107.92
 1992 Jun ,98.486,117.487,51.098,,109.252
 1992 Jul ,97.918,118.062,50.257,,109.292
 1992 Aug ,98.553,119.236,49.487,,109.056
 1992 Sep ,102.037,120.658,52.587,,111.436
 1992 Oct ,99.263,116.801,52.393,,111.518
 1992 Nov ,99.553,118.118,53.191,,105.558
 1992 Dec ,98.17,117.657,52.75,,100.752
 1993 Jan ,99.855,115.748,54.977,,111.839
 1993 Feb ,101.197,120.947,54.667,,110.396
 1993 Mar ,103.004,120.475,54.04,,112.086
 1993 Apr ,101.684,118.77,53.782,,112.265
 1993 May ,103.476,124.2,53.282,,113.06
 1993 Jun ,106.643,128.763,58.537,,113.009
 1993 Jul ,105.32,124.249,57.215,,113.859
 1993 Aug ,106.907,125.607,61.627,,114.087
 1993 Sep ,104.229,123.016,58.391,,112.875
 1993 Oct ,105.579,127.322,57.414,,114.097
 1993 Nov ,104.061,119.812,57.622,,114.664
 1993 Dec ,106.474,128.99,60.128,,112.658
 1994 Jan ,106.325,130.939,59.181,,111.403
 1994 Feb ,106.824,129.737,62.289,,111.534
 1994 Mar ,110.792,130.129,63.74,,115.777
 1994 Apr ,105.576,127.983,60.85,,110.225
 1994 May ,105.259,127.623,61.758,,108.073
 1994 Jun ,101.059,119.348,61.084,,106.324
 1994 Jul ,104.798,125.301,62.587,,109.003
 1994 Aug ,103.315,125.766,62.136,,106.147
 1994 Sep ,107.041,132.945,62.596,,107.718
 1994 Oct ,104.718,125.432,64.021,,108.558
 1994 Nov ,106.01,126.679,65.995,,108.38
 1994 Dec ,105.062,124.968,64.007,,109.226
 1995 Jan ,106.851,124.858,65.585,,109.441
 1995 Feb ,104.234,123.405,64.548,,109.846
 1995 Mar ,104.901,127.419,61.471,,109.646
 1995 Apr ,105.302,122.225,66.779,,109.742
 1995 May ,107.91,129.825,66.679,,110.721
 1995 Jun ,106.424,126.945,65.879,,109.324
 1995 Jul ,108.978,128.974,68.281,,112.031
 1995 Aug ,109.112,130.072,69.574,,111.131
 1995 Sep ,109.287,130.537,69.071,,111.265
 1995 Oct ,107.966,127.408,69.278,,110.658
 1995 Nov ,108.075,127.687,69.394,,110.692
 1995 Dec ,108.979,128.147,70.117,,112.377
 1996 Jan ,107.632,133.826,68.843,,108.836
 1996 Feb ,108.227,126.894,69.227,,116.106
 1996 Mar ,108.862,126.888,65.573,,112.155
 1996 Apr ,110.231,131.398,69.349,,111.762
 1996 May ,108.43,125.679,70.736,,113.647
 1996 Jun ,110.289,129.403,68.097,,114.41
 1996 Jul ,109.895,129.97,70.009,,112.55
 1996 Aug ,109.901,127.39,70.463,,114.299
 1996 Sep ,109.495,124.494,72.679,,114.062
 1996 Oct ,111.168,128.657,73.487,,115.478
 1996 Nov ,112.605,128.914,74.44,,117.935
 1996 Dec ,112.432,128.269,74.879,,117.182
 1997 Jan ,113.479,127.06,72.426,,120.01
 1997 Feb ,114.392,128.745,74.592,,122.055
 1997 Mar ,116.301,128.658,77.884,,125.04
 1997 Apr ,114.672,126.263,78.589,,122.602
 1997 May ,112.811,124.176,77.222,,121.663
 1997 Jun ,117.011,128.852,80.827,,123.001
 1997 Jul ,114.776,126.761,79.939,,121.271
 1997 Aug ,113.378,124.1,78.481,,121.928
 1997 Sep ,117.206,130.489,78.088,,121.477
 1997 Oct ,112.547,126.224,78.349,,118.874
 1997 Nov ,111.76,125.012,75.708,,117.392
 1997 Dec ,112.996,126.928,76.294,,118.755
