month,level_1,value
1985-01,Total,38.1
1985-02,Total,38.9
1985-03,Total,39.2
1985-04,Total,34.3
1985-05,Total,36.2
1985-06,Total,38.6
1985-07,Total,33.7
1985-08,Total,34.5
1985-09,Total,36.1
1985-10,Total,37.4
1985-11,Total,37.1
1985-12,Total,38.9
1986-01,Total,35.5
1986-02,Total,34.3
1986-03,Total,34.2
1986-04,Total,31.7
1986-05,Total,34.3
1986-06,Total,33.3
1986-07,Total,32.6
1986-08,Total,34.3
1986-09,Total,34.5
1986-10,Total,33.1
1986-11,Total,33.9
1986-12,Total,37.2
1987-01,Total,33.4
1987-02,Total,32.4
1987-03,Total,35.6
1987-04,Total,33.5
1987-05,Total,37.3
1987-06,Total,35.5
1987-07,Total,34.8
1987-08,Total,36.7
1987-09,Total,35.8
1987-10,Total,40.5
1987-11,Total,39.5
1987-12,Total,44.6
1988-01,Total,40
1988-02,Total,39.7
1988-03,Total,40.9
1988-04,Total,39
1988-05,Total,41.4
1988-06,Total,40
1988-07,Total,41.3
1988-08,Total,40.1
1988-09,Total,41
1988-10,Total,44.2
1988-11,Total,44.8
1988-12,Total,49.8
1989-01,Total,44.3
1989-02,Total,43.8
1989-03,Total,46.1
1989-04,Total,44.2
1989-05,Total,46
1989-06,Total,44.8
1989-07,Total,47
1989-08,Total,46
1989-09,Total,49.4
1989-10,Total,48.9
1989-11,Total,50.3
1989-12,Total,55.6
1990-01,Total,49.9
1990-02,Total,48.4
1990-03,Total,51.5
1990-04,Total,48
1990-05,Total,51.5
1990-06,Total,49.5
1990-07,Total,48.9
1990-08,Total,50.4
1990-09,Total,49.9
1990-10,Total,52.2
1990-11,Total,54.5
1990-12,Total,59.5
1991-01,Total,49.5
1991-02,Total,47.5
1991-03,Total,50.2
1991-04,Total,49.4
1991-05,Total,52.6
1991-06,Total,54.5
1991-07,Total,51.8
1991-08,Total,52.9
1991-09,Total,54.7
1991-10,Total,54.9
1991-11,Total,58.2
1991-12,Total,62.3
1992-01,Total,55.5
1992-02,Total,56.4
1992-03,Total,54.5
1992-04,Total,54.7
1992-05,Total,57.6
1992-06,Total,55.5
1992-07,Total,55.4
1992-08,Total,56.3
1992-09,Total,58.4
1992-10,Total,58.3
1992-11,Total,60
1992-12,Total,63.3
1993-01,Total,60
1993-02,Total,54.3
1993-03,Total,59.4
1993-04,Total,56
1993-05,Total,60.9
1993-06,Total,61.1
1993-07,Total,60.6
1993-08,Total,61.2
1993-09,Total,60.5
1993-10,Total,63.3
1993-11,Total,62.9
1993-12,Total,70.2
1994-01,Total,62.8
1994-02,Total,60.7
1994-03,Total,65.5
1994-04,Total,61.1
1994-05,Total,64.1
1994-06,Total,60.9
1994-07,Total,63.9
1994-08,Total,61.6
1994-09,Total,65.2
1994-10,Total,65.1
1994-11,Total,66.9
1994-12,Total,72.8
1995-01,Total,65.8
1995-02,Total,60.9
1995-03,Total,67
1995-04,Total,63.1
1995-05,Total,67.7
1995-06,Total,66.2
1995-07,Total,67.6
1995-08,Total,66.4
1995-09,Total,69
1995-10,Total,68.1
1995-11,Total,70.4
1995-12,Total,78.8
1996-01,Total,67.4
1996-02,Total,67.9
1996-03,Total,71.3
1996-04,Total,66.4
1996-05,Total,70
1996-06,Total,70.8
1996-07,Total,68.7
1996-08,Total,69
1996-09,Total,70.1
1996-10,Total,71.2
1996-11,Total,75.5
1996-12,Total,81.9
1997-01,Total,72.4
1997-02,Total,71.5
1997-03,Total,76.9
1997-04,Total,70.2
1997-05,Total,73.9
1997-06,Total,75.4
1997-07,Total,72.5
1997-08,Total,73
1997-09,Total,75.6
1997-10,Total,74.3
1997-11,Total,76.4
1997-12,Total,83.5
1998-01,Total,74.4
1998-02,Total,69.8
1998-03,Total,71.9
1998-04,Total,66.8
1998-05,Total,72.8
1998-06,Total,67.1
1998-07,Total,66.7
1998-08,Total,67.9
1998-09,Total,65.7
1998-10,Total,70
1998-11,Total,69.9
1998-12,Total,76
1999-01,Total,67.1
1999-02,Total,62.7
1999-03,Total,70.7
1999-04,Total,65.9
1999-05,Total,71.2
1999-06,Total,70.8
1999-07,Total,67.4
1999-08,Total,66
1999-09,Total,69.7
1999-10,Total,72.4
1999-11,Total,73.8
1999-12,Total,78.7
2000-01,Total,72.2
2000-02,Total,70.6
2000-03,Total,73.5
2000-04,Total,70.2
2000-05,Total,74.7
2000-06,Total,72.2
2000-07,Total,72.8
2000-08,Total,72.1
2000-09,Total,78.8
2000-10,Total,76.1
2000-11,Total,79
2000-12,Total,85.9
2001-01,Total,77.4
2001-02,Total,72
2001-03,Total,78.2
2001-04,Total,71
2001-05,Total,76.5
2001-06,Total,75.4
2001-07,Total,74.4
2001-08,Total,73.3
2001-09,Total,72.2
2001-10,Total,70.8
2001-11,Total,71.9
2001-12,Total,78.6
2002-01,Total,68.9
2002-02,Total,69.8
2002-03,Total,75.3
2002-04,Total,67
2002-05,Total,71.1
2002-06,Total,69.1
2002-07,Total,68.2
2002-08,Total,68.3
2002-09,Total,71.4
2002-10,Total,70.2
2002-11,Total,70.6
2002-12,Total,78
2003-01,Total,70.7
2003-02,Total,65.9
2003-03,Total,69
2003-04,Total,49.1
2003-05,Total,56.6
2003-06,Total,60.5
2003-07,Total,62.5
2003-08,Total,65.7
2003-09,Total,68.9
2003-10,Total,71.9
2003-11,Total,71.5
2003-12,Total,76.2
2004-01,Total,71
2004-02,Total,67.4
2004-03,Total,69.6
2004-04,Total,64.5
2004-05,Total,69.1
2004-06,Total,67.8
2004-07,Total,68.8
2004-08,Total,64.5
2004-09,Total,70.1
2004-10,Total,70.6
2004-11,Total,69.3
2004-12,Total,76.7
2005-01,Total,70.7
2005-02,Total,70.9
2005-03,Total,70.5
2005-04,Total,67.1
2005-05,Total,71
2005-06,Total,69.8
2005-07,Total,72.9
2005-08,Total,72.3
2005-09,Total,69.3
2005-10,Total,69
2005-11,Total,70.2
2005-12,Total,79.3
2006-01,Total,73.6
2006-02,Total,74
2006-03,Total,72.7
2006-04,Total,70.4
2006-05,Total,74.9
2006-06,Total,72.4
2006-07,Total,75.4
2006-08,Total,74.2
2006-09,Total,72.3
2006-10,Total,74.2
2006-11,Total,74.4
2006-12,Total,82.5
2007-01,Total,74
2007-02,Total,74.8
2007-03,Total,77.8
2007-04,Total,72.7
2007-05,Total,77.4
2007-06,Total,79.4
2007-07,Total,79.5
2007-08,Total,81.1
2007-09,Total,78.4
2007-10,Total,79.7
2007-11,Total,80.5
2007-12,Total,90.6
2008-01,Total,79.8
2008-02,Total,85.5
2008-03,Total,83
2008-04,Total,79.6
2008-05,Total,86.5
2008-06,Total,83.4
2008-07,Total,85
2008-08,Total,85
2008-09,Total,82.9
2008-10,Total,87.4
2008-11,Total,84.8
2008-12,Total,90.9
2009-01,Total,85.7
2009-02,Total,76.7
2009-03,Total,81.1
2009-04,Total,78.1
2009-05,Total,82.4
2009-06,Total,80.7
2009-07,Total,81.6
2009-08,Total,82.8
2009-09,Total,80.4
2009-10,Total,83
2009-11,Total,81.4
2009-12,Total,91
