month,level_1,level_2,value
1985-01,Total,Restaurants,39.1
1985-01,Total,Fast Food Outlets,16.2
1985-01,Total,Food Caterers,na
1985-01,Total,Other Eating Places,48.3
1985-02,Total,Restaurants,41.5
1985-02,Total,Fast Food Outlets,17.8
1985-02,Total,Food Caterers,na
1985-02,Total,Other Eating Places,44.9
1985-03,Total,Restaurants,38.2
1985-03,Total,Fast Food Outlets,19.1
1985-03,Total,Food Caterers,na
1985-03,Total,Other Eating Places,52.2
1985-04,Total,Restaurants,32.9
1985-04,Total,Fast Food Outlets,16.4
1985-04,Total,Food Caterers,na
1985-04,Total,Other Eating Places,47.2
1985-05,Total,Restaurants,34.8
1985-05,Total,Fast Food Outlets,17
1985-05,Total,Food Caterers,na
1985-05,Total,Other Eating Places,49.5
1985-06,Total,Restaurants,37.5
1985-06,Total,Fast Food Outlets,19.9
1985-06,Total,Food Caterers,na
1985-06,Total,Other Eating Places,50.7
1985-07,Total,Restaurants,30.9
1985-07,Total,Fast Food Outlets,16.5
1985-07,Total,Food Caterers,na
1985-07,Total,Other Eating Places,48.8
1985-08,Total,Restaurants,31.7
1985-08,Total,Fast Food Outlets,17.6
1985-08,Total,Food Caterers,na
1985-08,Total,Other Eating Places,49.6
1985-09,Total,Restaurants,35.6
1985-09,Total,Fast Food Outlets,17
1985-09,Total,Food Caterers,na
1985-09,Total,Other Eating Places,47.5
1985-10,Total,Restaurants,37.5
1985-10,Total,Fast Food Outlets,15.3
1985-10,Total,Food Caterers,na
1985-10,Total,Other Eating Places,49.6
1985-11,Total,Restaurants,36.5
1985-11,Total,Fast Food Outlets,17.4
1985-11,Total,Food Caterers,na
1985-11,Total,Other Eating Places,49.2
1985-12,Total,Restaurants,36.8
1985-12,Total,Fast Food Outlets,20.9
1985-12,Total,Food Caterers,na
1985-12,Total,Other Eating Places,52.3
1986-01,Total,Restaurants,37.3
1986-01,Total,Fast Food Outlets,15.2
1986-01,Total,Food Caterers,na
1986-01,Total,Other Eating Places,43
1986-02,Total,Restaurants,37.4
1986-02,Total,Fast Food Outlets,16.2
1986-02,Total,Food Caterers,na
1986-02,Total,Other Eating Places,37.5
1986-03,Total,Restaurants,32
1986-03,Total,Fast Food Outlets,18.9
1986-03,Total,Food Caterers,na
1986-03,Total,Other Eating Places,46.5
1986-04,Total,Restaurants,29.9
1986-04,Total,Fast Food Outlets,15.1
1986-04,Total,Food Caterers,na
1986-04,Total,Other Eating Places,44.3
1986-05,Total,Restaurants,33.7
1986-05,Total,Fast Food Outlets,18.7
1986-05,Total,Food Caterers,na
1986-05,Total,Other Eating Places,43.7
1986-06,Total,Restaurants,31
1986-06,Total,Fast Food Outlets,20.2
1986-06,Total,Food Caterers,na
1986-06,Total,Other Eating Places,44.3
1986-07,Total,Restaurants,30.7
1986-07,Total,Fast Food Outlets,17.5
1986-07,Total,Food Caterers,na
1986-07,Total,Other Eating Places,44.4
1986-08,Total,Restaurants,33.3
1986-08,Total,Fast Food Outlets,20.4
1986-08,Total,Food Caterers,na
