Date,Gross-lettings (thousands)
Jan-08,746
Feb-08,668
Mar-08,780
Apr-08,723
May-08,731
Jun-08,714
Jul-08,761
Aug-08,723
Sep-08,652
Oct-08,754
Nov-08,717
Dec-08,671
Jan-09,620
Feb-09,629
Mar-09,684
Apr-09,632
May-09,635
Jun-09,691
Jul-09,774
Aug-09,760
Sep-09,739
Oct-09,822
Nov-09,827
Dec-09,808
Jan-10,835
Feb-10,762
Mar-10,918
Apr-10,860
May-10,906
Jun-10,895
Jul-10,997
Aug-10,994
Sep-10,939
Oct-10,1028
Nov-10,1032
Dec-10,1014
Jan-11,994
Feb-11,921
Mar-11,1064
Apr-11,1006
May-11,1021
Jun-11,1027
Jul-11,1128
Aug-11,1050
Sep-11,1032
Oct-11,1088
Nov-11,1084
Dec-11,1044
Jan-12,1030
Feb-12,1054
Mar-12,1108
Apr-12,1053
May-12,1068
Jun-12,1082
Jul-12,1164
Aug-12,1102
Sep-12,1045
Oct-12,1131
Nov-12,1140
Dec-12,1105
Jan-13,1112
Feb-13,1022
Mar-13,1178
Apr-13,1106
May-13,1147
Jun-13,1159
Jul-13,1209
Aug-13,1224
Sep-13,1137
Oct-13,1221
Nov-13,1184
Dec-13,1156
Jan-14,1153
Feb-14,1140
Mar-14,1221
Apr-14,1166
May-14,1208
Jun-14,1190
Jul-14,1293
Aug-14,1336
Sep-14,1183
Oct-14,1264
Nov-14,1238
Dec-14,1217
Jan-15,1207
Feb-15,1139
Mar-15,1255
Apr-15,1171
May-15,1236
Jun-15,1225
Jul-15,1359
Aug-15,1409
Sep-15,1229
Oct-15,1357
Nov-15,1259
Dec-15,1247
Jan-16,1289
Feb-16,1240
Mar-16,1306
Apr-16,1287
May-16,1292
Jun-16,1235
Jul-16,1493
Aug-16,1446
Sep-16,1323
Oct-16,1359
Nov-16,1330
Dec-16,1343
Jan-17,1373
Feb-17,1347
Mar-17,1444
Apr-17,1393
May-17,1392
Jun-17,1359
Jul-17,1540
Aug-17,1530
Sep-17,1429
Oct-17,1456
Nov-17,1444
Dec-17,1395
Jan-18,1448
Feb-18,1397
Mar-18,1540
Apr-18,1495
May-18,1491
Jun-18,1494
Jul-18,1677
Aug-18,1664
Sep-18,1510
Oct-18,1583
Nov-18,1504
Dec-18,1482
Jan-19,1551
Feb-19,1468
Mar-19,1542
Apr-19,1510
May-19,1487
Jun-19,1517
Jul-19,1727
Aug-19,1695
Sep-19,1588
Oct-19,1658
Nov-19,1640
Dec-19,1589
Jan-20,1609
Feb-20,871
