month,level_1,level_2,value
1978-01,Export Price Index - Overall Items,Food & Live Animals,83.112
1978-01,Export Price Index - Overall Items,Beverages & Tobacco,57.875
1978-01,Export Price Index - Overall Items,Crude Materials (Excl Fuels),48.624
1978-01,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",24.906
1978-01,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,109.748
1978-01,Export Price Index - Overall Items,Chemicals & Chemical Products,66.686
1978-01,Export Price Index - Overall Items,Manufactured Goods,78.935
1978-01,Export Price Index - Overall Items,Machinery & Transport Equipment,299.626
1978-01,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,107.881
1978-02,Export Price Index - Overall Items,Food & Live Animals,81.54
1978-02,Export Price Index - Overall Items,Beverages & Tobacco,57.493
1978-02,Export Price Index - Overall Items,Crude Materials (Excl Fuels),48.961
1978-02,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",24.807
1978-02,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,115.328
1978-02,Export Price Index - Overall Items,Chemicals & Chemical Products,66.686
1978-02,Export Price Index - Overall Items,Manufactured Goods,79.272
1978-02,Export Price Index - Overall Items,Machinery & Transport Equipment,299.374
1978-02,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,107.998
1978-03,Export Price Index - Overall Items,Food & Live Animals,78.61
1978-03,Export Price Index - Overall Items,Beverages & Tobacco,57.875
1978-03,Export Price Index - Overall Items,Crude Materials (Excl Fuels),48.849
1978-03,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",24.747
1978-03,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,115.646
1978-03,Export Price Index - Overall Items,Chemicals & Chemical Products,66.769
1978-03,Export Price Index - Overall Items,Manufactured Goods,79.188
1978-03,Export Price Index - Overall Items,Machinery & Transport Equipment,300.127
1978-03,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,107.998
1978-04,Export Price Index - Overall Items,Food & Live Animals,77.466
1978-04,Export Price Index - Overall Items,Beverages & Tobacco,57.875
