month,level_1,value,,month,rate
1978-01,Export Price Index - Overall Items,139.89,,1978-01,0
1978-02,Export Price Index - Overall Items,139.89,,1978-02,0
1978-03,Export Price Index - Overall Items,139.499,,1978-03,-0.279505326
1978-04,Export Price Index - Overall Items,139.759,,1978-04,0.186381264
1978-05,Export Price Index - Overall Items,139.89,,1978-05,0.093732783
1978-06,Export Price Index - Overall Items,141.198,,1978-06,0.935020373
1978-07,Export Price Index - Overall Items,140.544,,1978-07,-0.463179365
1978-08,Export Price Index - Overall Items,141.066,,1978-08,0.371413934
1978-09,Export Price Index - Overall Items,141.72,,1978-09,0.463612777
1978-10,Export Price Index - Overall Items,141.591,,1978-10,-0.091024555
1978-11,Export Price Index - Overall Items,141.982,,1978-11,0.276147495
1978-12,Export Price Index - Overall Items,142.243,,1978-12,0.183826119
1979-01,Export Price Index - Overall Items,145.12,,1979-01,2.022595136
1979-02,Export Price Index - Overall Items,148.257,,1979-02,2.161659316
1979-03,Export Price Index - Overall Items,149.564,,1979-03,0.881577261
1979-04,Export Price Index - Overall Items,156.755,,1979-04,4.807975181
1979-05,Export Price Index - Overall Items,158.978,,1979-05,1.418136583
1979-06,Export Price Index - Overall Items,164.338,,1979-06,3.371535684
1979-07,Export Price Index - Overall Items,171.268,,1979-07,4.216918789
1979-08,Export Price Index - Overall Items,170.483,,1979-08,-0.458345984
1979-09,Export Price Index - Overall Items,172.836,,1979-09,1.380196266
1979-10,Export Price Index - Overall Items,175.452,,1979-10,1.513573561
1979-11,Export Price Index - Overall Items,177.674,,1979-11,1.266443244
1979-12,Export Price Index - Overall Items,183.688,,1979-12,3.384850907
1980-01,Export Price Index - Overall Items,195.976,,1980-01,6.689604111
1980-02,Export Price Index - Overall Items,200.946,,1980-02,2.536024819
1980-03,Export Price Index - Overall Items,204.083,,1980-03,1.561115922
1980-04,Export Price Index - Overall Items,202.907,,1980-04,-0.576236139
1980-05,Export Price Index - Overall Items,201.991,,1980-05,-0.451438344
1980-06,Export Price Index - Overall Items,201.075,,1980-06,-0.453485551
1980-07,Export Price Index - Overall Items,203.822,,1980-07,1.366156907
1980-08,Export Price Index - Overall Items,204.344,,1980-08,0.256105818
1980-09,Export Price Index - Overall Items,203.952,,1980-09,-0.191833379
1980-10,Export Price Index - Overall Items,204.474,,1980-10,0.255942575
1980-11,Export Price Index - Overall Items,205.521,,1980-11,0.512045541
1980-12,Export Price Index - Overall Items,205.782,,1980-12,0.126994322
1981-01,Export Price Index - Overall Items,212.581,,1981-01,3.303981884
1981-02,Export Price Index - Overall Items,212.057,,1981-02,-0.246494277
1981-03,Export Price Index - Overall Items,211.796,,1981-03,-0.123080115
1981-04,Export Price Index - Overall Items,211.535,,1981-04,-0.123231789
1981-05,Export Price Index - Overall Items,213.888,,1981-05,1.112345475
1981-06,Export Price Index - Overall Items,211.796,,1981-06,-0.978081987
1981-07,Export Price Index - Overall Items,211.796,,1981-07,0
1981-08,Export Price Index - Overall Items,211.796,,1981-08,0
1981-09,Export Price Index - Overall Items,210.228,,1981-09,-0.740335039
1981-10,Export Price Index - Overall Items,206.959,,1981-10,-1.554978404
1981-11,Export Price Index - Overall Items,205.521,,1981-11,-0.694823612
1981-12,Export Price Index - Overall Items,205.129,,1981-12,-0.190734767
1982-01,Export Price Index - Overall Items,205.389,,1982-01,0.126749509
1982-02,Export Price Index - Overall Items,206.566,,1982-02,0.573058927
1982-03,Export Price Index - Overall Items,206.698,,1982-03,0.063902094
1982-04,Export Price Index - Overall Items,204.083,,1982-04,-1.26513077
1982-05,Export Price Index - Overall Items,201.991,,1982-05,-1.025073132
1982-06,Export Price Index - Overall Items,202.514,,1982-06,0.258922427
1982-07,Export Price Index - Overall Items,202.514,,1982-07,0
1982-08,Export Price Index - Overall Items,203.429,,1982-08,0.451820615
1982-09,Export Price Index - Overall Items,203.168,,1982-09,-0.128300292
1982-10,Export Price Index - Overall Items,203.822,,1982-10,0.321901087
1982-11,Export Price Index - Overall Items,204.344,,1982-11,0.256105818
