month,level_1,value
1997-01,Value Of Food & Beverage Sales  - Estimated,289
1997-02,Value Of Food & Beverage Sales  - Estimated,285
1997-03,Value Of Food & Beverage Sales  - Estimated,307
1997-04,Value Of Food & Beverage Sales  - Estimated,280
1997-05,Value Of Food & Beverage Sales  - Estimated,294
1997-06,Value Of Food & Beverage Sales  - Estimated,300
1997-07,Value Of Food & Beverage Sales  - Estimated,288
1997-08,Value Of Food & Beverage Sales  - Estimated,289
1997-09,Value Of Food & Beverage Sales  - Estimated,299
1997-10,Value Of Food & Beverage Sales  - Estimated,293
1997-11,Value Of Food & Beverage Sales  - Estimated,300
1997-12,Value Of Food & Beverage Sales  - Estimated,327
1998-01,Value Of Food & Beverage Sales  - Estimated,290
1998-02,Value Of Food & Beverage Sales  - Estimated,271
1998-03,Value Of Food & Beverage Sales  - Estimated,279
1998-04,Value Of Food & Beverage Sales  - Estimated,258
1998-05,Value Of Food & Beverage Sales  - Estimated,281
1998-06,Value Of Food & Beverage Sales  - Estimated,258
1998-07,Value Of Food & Beverage Sales  - Estimated,256
1998-08,Value Of Food & Beverage Sales  - Estimated,260
1998-09,Value Of Food & Beverage Sales  - Estimated,251
1998-10,Value Of Food & Beverage Sales  - Estimated,268
1998-11,Value Of Food & Beverage Sales  - Estimated,267
1998-12,Value Of Food & Beverage Sales  - Estimated,290
1999-01,Value Of Food & Beverage Sales  - Estimated,256
1999-02,Value Of Food & Beverage Sales  - Estimated,239
1999-03,Value Of Food & Beverage Sales  - Estimated,269
1999-04,Value Of Food & Beverage Sales  - Estimated,251
1999-05,Value Of Food & Beverage Sales  - Estimated,271
1999-06,Value Of Food & Beverage Sales  - Estimated,269
1999-07,Value Of Food & Beverage Sales  - Estimated,256
1999-08,Value Of Food & Beverage Sales  - Estimated,250
1999-09,Value Of Food & Beverage Sales  - Estimated,264
1999-10,Value Of Food & Beverage Sales  - Estimated,273
1999-11,Value Of Food & Beverage Sales  - Estimated,278
1999-12,Value Of Food & Beverage Sales  - Estimated,296
2000-01,Value Of Food & Beverage Sales  - Estimated,271
2000-02,Value Of Food & Beverage Sales  - Estimated,265
2000-03,Value Of Food & Beverage Sales  - Estimated,276
2000-04,Value Of Food & Beverage Sales  - Estimated,264
2000-05,Value Of Food & Beverage Sales  - Estimated,282
2000-06,Value Of Food & Beverage Sales  - Estimated,274
2000-07,Value Of Food & Beverage Sales  - Estimated,277
2000-08,Value Of Food & Beverage Sales  - Estimated,277
2000-09,Value Of Food & Beverage Sales  - Estimated,305
2000-10,Value Of Food & Beverage Sales  - Estimated,297
2000-11,Value Of Food & Beverage Sales  - Estimated,311
2000-12,Value Of Food & Beverage Sales  - Estimated,343
2001-01,Value Of Food & Beverage Sales  - Estimated,313
2001-02,Value Of Food & Beverage Sales  - Estimated,294
2001-03,Value Of Food & Beverage Sales  - Estimated,323
2001-04,Value Of Food & Beverage Sales  - Estimated,296
2001-05,Value Of Food & Beverage Sales  - Estimated,321
2001-06,Value Of Food & Beverage Sales  - Estimated,318
2001-07,Value Of Food & Beverage Sales  - Estimated,315
2001-08,Value Of Food & Beverage Sales  - Estimated,312
2001-09,Value Of Food & Beverage Sales  - Estimated,308
2001-10,Value Of Food & Beverage Sales  - Estimated,302
2001-11,Value Of Food & Beverage Sales  - Estimated,307
2001-12,Value Of Food & Beverage Sales  - Estimated,335
2002-01,Value Of Food & Beverage Sales  - Estimated,293
