month,level_1,level_2,value
1983-01,Total,Electronics Cluster,8.614
1983-01,Total,Chemicals Cluster,na
1983-01,Total,Biomedical Manufacturing Cluster,na
1983-01,Total,Precision Engineering Cluster,na
1983-01,Total,Transport Engineering Cluster,na
1983-01,Total,General Manufacturing Cluster,na
1983-02,Total,Electronics Cluster,7.798
1983-02,Total,Chemicals Cluster,na
1983-02,Total,Biomedical Manufacturing Cluster,na
1983-02,Total,Precision Engineering Cluster,na
1983-02,Total,Transport Engineering Cluster,na
1983-02,Total,General Manufacturing Cluster,na
1983-03,Total,Electronics Cluster,10.708
1983-03,Total,Chemicals Cluster,na
1983-03,Total,Biomedical Manufacturing Cluster,na
1983-03,Total,Precision Engineering Cluster,na
1983-03,Total,Transport Engineering Cluster,na
1983-03,Total,General Manufacturing Cluster,na
1983-04,Total,Electronics Cluster,9.544
1983-04,Total,Chemicals Cluster,na
1983-04,Total,Biomedical Manufacturing Cluster,na
1983-04,Total,Precision Engineering Cluster,na
1983-04,Total,Transport Engineering Cluster,na
1983-04,Total,General Manufacturing Cluster,na
1983-05,Total,Electronics Cluster,8.963
1983-05,Total,Chemicals Cluster,na
1983-05,Total,Biomedical Manufacturing Cluster,na
1983-05,Total,Precision Engineering Cluster,na
1983-05,Total,Transport Engineering Cluster,na
1983-05,Total,General Manufacturing Cluster,na
1983-06,Total,Electronics Cluster,9.778
1983-06,Total,Chemicals Cluster,na
1983-06,Total,Biomedical Manufacturing Cluster,na
1983-06,Total,Precision Engineering Cluster,na
1983-06,Total,Transport Engineering Cluster,na
1983-06,Total,General Manufacturing Cluster,na
1983-07,Total,Electronics Cluster,9.778
1983-07,Total,Chemicals Cluster,na
1983-07,Total,Biomedical Manufacturing Cluster,na
1983-07,Total,Precision Engineering Cluster,na
1983-07,Total,Transport Engineering Cluster,na
1983-07,Total,General Manufacturing Cluster,na
1983-08,Total,Electronics Cluster,9.778
1983-08,Total,Chemicals Cluster,na
1983-08,Total,Biomedical Manufacturing Cluster,na
1983-08,Total,Precision Engineering Cluster,na
1983-08,Total,Transport Engineering Cluster,na
1983-08,Total,General Manufacturing Cluster,na
1983-09,Total,Electronics Cluster,11.173
1983-09,Total,Chemicals Cluster,na
1983-09,Total,Biomedical Manufacturing Cluster,na
1983-09,Total,Precision Engineering Cluster,na
1983-09,Total,Transport Engineering Cluster,na
1983-09,Total,General Manufacturing Cluster,na
1983-10,Total,Electronics Cluster,11.173
1983-10,Total,Chemicals Cluster,na
1983-10,Total,Biomedical Manufacturing Cluster,na
1983-10,Total,Precision Engineering Cluster,na
1983-10,Total,Transport Engineering Cluster,na
1983-10,Total,General Manufacturing Cluster,na
1983-11,Total,Electronics Cluster,11.173
1983-11,Total,Chemicals Cluster,na
1983-11,Total,Biomedical Manufacturing Cluster,na
1983-11,Total,Precision Engineering Cluster,na
1983-11,Total,Transport Engineering Cluster,na
1983-11,Total,General Manufacturing Cluster,na
1983-12,Total,Electronics Cluster,12.804
1983-12,Total,Chemicals Cluster,na
1983-12,Total,Biomedical Manufacturing Cluster,na
1983-12,Total,Precision Engineering Cluster,na
1983-12,Total,Transport Engineering Cluster,na
1983-12,Total,General Manufacturing Cluster,na
1984-01,Total,Electronics Cluster,11.872
1984-01,Total,Chemicals Cluster,na
1984-01,Total,Biomedical Manufacturing Cluster,na
1984-01,Total,Precision Engineering Cluster,na
1984-01,Total,Transport Engineering Cluster,na
1984-01,Total,General Manufacturing Cluster,na
1984-02,Total,Electronics Cluster,10.127
1984-02,Total,Chemicals Cluster,na
1984-02,Total,Biomedical Manufacturing Cluster,na
1984-02,Total,Precision Engineering Cluster,na
1984-02,Total,Transport Engineering Cluster,na
1984-02,Total,General Manufacturing Cluster,na
1984-03,Total,Electronics Cluster,13.618
1984-03,Total,Chemicals Cluster,na
1984-03,Total,Biomedical Manufacturing Cluster,na
1984-03,Total,Precision Engineering Cluster,na
1984-03,Total,Transport Engineering Cluster,na
1984-03,Total,General Manufacturing Cluster,na
1984-04,Total,Electronics Cluster,11.989
1984-04,Total,Chemicals Cluster,na
1984-04,Total,Biomedical Manufacturing Cluster,na
1984-04,Total,Precision Engineering Cluster,na
1984-04,Total,Transport Engineering Cluster,na
1984-04,Total,General Manufacturing Cluster,na
1984-05,Total,Electronics Cluster,10.941
1984-05,Total,Chemicals Cluster,na
1984-05,Total,Biomedical Manufacturing Cluster,na
1984-05,Total,Precision Engineering Cluster,na
1984-05,Total,Transport Engineering Cluster,na
1984-05,Total,General Manufacturing Cluster,na
1984-06,Total,Electronics Cluster,11.523
1984-06,Total,Chemicals Cluster,na
1984-06,Total,Biomedical Manufacturing Cluster,na
1984-06,Total,Precision Engineering Cluster,na
1984-06,Total,Transport Engineering Cluster,na
1984-06,Total,General Manufacturing Cluster,na
1984-07,Total,Electronics Cluster,11.291
1984-07,Total,Chemicals Cluster,na
1984-07,Total,Biomedical Manufacturing Cluster,na
1984-07,Total,Precision Engineering Cluster,na
1984-07,Total,Transport Engineering Cluster,na
1984-07,Total,General Manufacturing Cluster,na
1984-08,Total,Electronics Cluster,12.337
1984-08,Total,Chemicals Cluster,na
1984-08,Total,Biomedical Manufacturing Cluster,na
1984-08,Total,Precision Engineering Cluster,na
1984-08,Total,Transport Engineering Cluster,na
1984-08,Total,General Manufacturing Cluster,na
1984-09,Total,Electronics Cluster,12.687
