month,level_1,level_2,level_3,value
1983-01,Total,Electronics Cluster,Semiconductors,na
1983-01,Total,Electronics Cluster,Computer Peripherals,na
1983-01,Total,Electronics Cluster,Data Storage,na
1983-01,Total,Electronics Cluster,Infocomms & Consumer Electronics,na
1983-01,Total,Electronics Cluster,Other Electronic Modules & Components,na
1983-01,Total,Chemicals Cluster,Petroleum,71.78
1983-01,Total,Chemicals Cluster,Petrochemicals,na
1983-01,Total,Chemicals Cluster,Specialties,na
1983-01,Total,Chemicals Cluster,Other Chemical Products,na
1983-01,Total,Biomedical Manufacturing Cluster,Pharmaceuticals,na
1983-01,Total,Biomedical Manufacturing Cluster,Medical Technology,na
1983-01,Total,Precision Engineering Cluster,Machinery & Systems,na
1983-01,Total,Precision Engineering Cluster,Precision Modules & Components,na
1983-01,Total,Transport Engineering Cluster,Marine & Offshore Engineering,na
1983-01,Total,Transport Engineering Cluster,Aerospace,na
1983-01,Total,Transport Engineering Cluster,Land,na
1983-01,Total,General Manufacturing Cluster,Printing,59.248
1983-01,Total,General Manufacturing Cluster,"Food, Beverages & Tobacco",56.251
1983-01,Total,General Manufacturing Cluster,Miscellaneous Industries,na
1983-02,Total,Electronics Cluster,Semiconductors,na
1983-02,Total,Electronics Cluster,Computer Peripherals,na
1983-02,Total,Electronics Cluster,Data Storage,na
1983-02,Total,Electronics Cluster,Infocomms & Consumer Electronics,na
1983-02,Total,Electronics Cluster,Other Electronic Modules & Components,na
1983-02,Total,Chemicals Cluster,Petroleum,56.942
1983-02,Total,Chemicals Cluster,Petrochemicals,na
1983-02,Total,Chemicals Cluster,Specialties,na
1983-02,Total,Chemicals Cluster,Other Chemical Products,na
1983-02,Total,Biomedical Manufacturing Cluster,Pharmaceuticals,na
1983-02,Total,Biomedical Manufacturing Cluster,Medical Technology,na
1983-02,Total,Precision Engineering Cluster,Machinery & Systems,na
1983-02,Total,Precision Engineering Cluster,Precision Modules & Components,na
1983-02,Total,Transport Engineering Cluster,Marine & Offshore Engineering,na
1983-02,Total,Transport Engineering Cluster,Aerospace,na
1983-02,Total,Transport Engineering Cluster,Land,na
1983-02,Total,General Manufacturing Cluster,Printing,40.359
1983-02,Total,General Manufacturing Cluster,"Food, Beverages & Tobacco",45.584
1983-02,Total,General Manufacturing Cluster,Miscellaneous Industries,na
1983-03,Total,Electronics Cluster,Semiconductors,na
1983-03,Total,Electronics Cluster,Computer Peripherals,na
1983-03,Total,Electronics Cluster,Data Storage,na
1983-03,Total,Electronics Cluster,Infocomms & Consumer Electronics,na
1983-03,Total,Electronics Cluster,Other Electronic Modules & Components,na
1983-03,Total,Chemicals Cluster,Petroleum,57.665
1983-03,Total,Chemicals Cluster,Petrochemicals,na
1983-03,Total,Chemicals Cluster,Specialties,na
1983-03,Total,Chemicals Cluster,Other Chemical Products,na
1983-03,Total,Biomedical Manufacturing Cluster,Pharmaceuticals,na
1983-03,Total,Biomedical Manufacturing Cluster,Medical Technology,na
1983-03,Total,Precision Engineering Cluster,Machinery & Systems,na
1983-03,Total,Precision Engineering Cluster,Precision Modules & Components,na
1983-03,Total,Transport Engineering Cluster,Marine & Offshore Engineering,na
1983-03,Total,Transport Engineering Cluster,Aerospace,na
1983-03,Total,Transport Engineering Cluster,Land,na
1983-03,Total,General Manufacturing Cluster,Printing,63.445
1983-03,Total,General Manufacturing Cluster,"Food, Beverages & Tobacco",61.251
1983-03,Total,General Manufacturing Cluster,Miscellaneous Industries,na
1983-04,Total,Electronics Cluster,Semiconductors,na
1983-04,Total,Electronics Cluster,Computer Peripherals,na
1983-04,Total,Electronics Cluster,Data Storage,na
1983-04,Total,Electronics Cluster,Infocomms & Consumer Electronics,na
1983-04,Total,Electronics Cluster,Other Electronic Modules & Components,na
1983-04,Total,Chemicals Cluster,Petroleum,59.234
1983-04,Total,Chemicals Cluster,Petrochemicals,na
1983-04,Total,Chemicals Cluster,Specialties,na
1983-04,Total,Chemicals Cluster,Other Chemical Products,na
1983-04,Total,Biomedical Manufacturing Cluster,Pharmaceuticals,na
1983-04,Total,Biomedical Manufacturing Cluster,Medical Technology,na
1983-04,Total,Precision Engineering Cluster,Machinery & Systems,na
1983-04,Total,Precision Engineering Cluster,Precision Modules & Components,na
1983-04,Total,Transport Engineering Cluster,Marine & Offshore Engineering,na
1983-04,Total,Transport Engineering Cluster,Aerospace,na
1983-04,Total,Transport Engineering Cluster,Land,na
1983-04,Total,General Manufacturing Cluster,Printing,58.44
1983-04,Total,General Manufacturing Cluster,"Food, Beverages & Tobacco",46.167
1983-04,Total,General Manufacturing Cluster,Miscellaneous Industries,na
1983-05,Total,Electronics Cluster,Semiconductors,na
1983-05,Total,Electronics Cluster,Computer Peripherals,na
1983-05,Total,Electronics Cluster,Data Storage,na
1983-05,Total,Electronics Cluster,Infocomms & Consumer Electronics,na
1983-05,Total,Electronics Cluster,Other Electronic Modules & Components,na
1983-05,Total,Chemicals Cluster,Petroleum,84.086
1983-05,Total,Chemicals Cluster,Petrochemicals,na
1983-05,Total,Chemicals Cluster,Specialties,na
1983-05,Total,Chemicals Cluster,Other Chemical Products,na
1983-05,Total,Biomedical Manufacturing Cluster,Pharmaceuticals,na
