month,level_1,value
1983-01,Total,14.344
1983-01,Total Excluding Biomedical Manufacturing,na
1983-02,Total,11.366
1983-02,Total Excluding Biomedical Manufacturing,na
1983-03,Total,14.501
1983-03,Total Excluding Biomedical Manufacturing,na
1983-04,Total,12.855
1983-04,Total Excluding Biomedical Manufacturing,na
1983-05,Total,13.011
1983-05,Total Excluding Biomedical Manufacturing,na
1983-06,Total,12.62
1983-06,Total Excluding Biomedical Manufacturing,na
1983-07,Total,13.561
1983-07,Total Excluding Biomedical Manufacturing,na
1983-08,Total,14.893
1983-08,Total Excluding Biomedical Manufacturing,na
1983-09,Total,14.736
1983-09,Total Excluding Biomedical Manufacturing,na
1983-10,Total,15.52
1983-10,Total Excluding Biomedical Manufacturing,na
1983-11,Total,13.795
1983-11,Total Excluding Biomedical Manufacturing,na
1983-12,Total,15.598
1983-12,Total Excluding Biomedical Manufacturing,na
1984-01,Total,15.833
1984-01,Total Excluding Biomedical Manufacturing,na
1984-02,Total,13.168
1984-02,Total Excluding Biomedical Manufacturing,na
1984-03,Total,15.99
1984-03,Total Excluding Biomedical Manufacturing,na
1984-04,Total,14.188
1984-04,Total Excluding Biomedical Manufacturing,na
1984-05,Total,14.736
1984-05,Total Excluding Biomedical Manufacturing,na
1984-06,Total,14.579
1984-06,Total Excluding Biomedical Manufacturing,na
1984-07,Total,14.893
1984-07,Total Excluding Biomedical Manufacturing,na
1984-08,Total,16.617
1984-08,Total Excluding Biomedical Manufacturing,na
1984-09,Total,15.285
1984-09,Total Excluding Biomedical Manufacturing,na
1984-10,Total,15.99
1984-10,Total Excluding Biomedical Manufacturing,na
1984-11,Total,14.344
1984-11,Total Excluding Biomedical Manufacturing,na
1984-12,Total,16.147
1984-12,Total Excluding Biomedical Manufacturing,na
1985-01,Total,15.598
1985-01,Total Excluding Biomedical Manufacturing,na
1985-02,Total,12.541
1985-02,Total Excluding Biomedical Manufacturing,na
1985-03,Total,15.52
1985-03,Total Excluding Biomedical Manufacturing,na
1985-04,Total,14.658
1985-04,Total Excluding Biomedical Manufacturing,na
1985-05,Total,13.482
1985-05,Total Excluding Biomedical Manufacturing,na
1985-06,Total,12.228
1985-06,Total Excluding Biomedical Manufacturing,na
1985-07,Total,14.265
1985-07,Total Excluding Biomedical Manufacturing,na
1985-08,Total,13.874
1985-08,Total Excluding Biomedical Manufacturing,na
1985-09,Total,14.658
1985-09,Total Excluding Biomedical Manufacturing,na
1985-10,Total,15.049
1985-10,Total Excluding Biomedical Manufacturing,na
1985-11,Total,12.463
1985-11,Total Excluding Biomedical Manufacturing,na
1985-12,Total,14.109
1985-12,Total Excluding Biomedical Manufacturing,na
1986-01,Total,13.717
1986-01,Total Excluding Biomedical Manufacturing,na
1986-02,Total,11.679
1986-02,Total Excluding Biomedical Manufacturing,na
1986-03,Total,15.598
1986-03,Total Excluding Biomedical Manufacturing,na
1986-04,Total,14.736
1986-04,Total Excluding Biomedical Manufacturing,na
1986-05,Total,14.344
1986-05,Total Excluding Biomedical Manufacturing,na
1986-06,Total,14.031
1986-06,Total Excluding Biomedical Manufacturing,na
1986-07,Total,15.52
1986-07,Total Excluding Biomedical Manufacturing,na
1986-08,Total,15.598
1986-08,Total Excluding Biomedical Manufacturing,na
1986-09,Total,17.636
1986-09,Total Excluding Biomedical Manufacturing,na
1986-10,Total,16.93
1986-10,Total Excluding Biomedical Manufacturing,na
1986-11,Total,15.128
