date,total_users,impression,click,region,categories,access,ctr
2020-12-01,141.0,16519.0,1338.0,Singapore,Clothing & Accessories,Web,0.0809976390822689
2020-12-01,1178.0,138584.0,11223.0,Singapore,Clothing & Accessories,Mobile,0.08098337470415055
2020-12-01,1172.0,137916.0,11169.0,Singapore,Electronics,Web,0.08098407726442182
2020-12-01,1466.0,172490.0,13969.0,Singapore,Electronics,Mobile,0.08098440489303728
2020-12-01,5349.0,629379.0,50969.0,Singapore,Home & Living,Web,0.08098300070386842
2020-12-01,353.0,41502.0,3361.0,Singapore,Home & Living,Mobile,0.08098404896149583
2020-12-01,152.0,17870.0,1448.0,Singapore,Food & Beverages,Web,0.08102965864577504
2020-12-01,1693.0,199154.0,16129.0,Singapore,Food & Beverages,Mobile,0.0809875774526246
2020-12-01,1520.0,178863.0,14485.0,Singapore,Hobbie & Books,Web,0.08098376970083249
2020-12-01,111.0,13019.0,1055.0,Singapore,Hobbie & Books,Mobile,0.08103540978569783
2020-12-01,4066.0,478491.0,38750.0,Singapore,Health & Wellness,Web,0.08098375936015516
2020-12-01,68.0,7915.0,641.0,Singapore,Health & Wellness,Mobile,0.08098547062539482
2020-12-01,4021.0,473130.0,38316.0,Singapore,Sports & Outdoors,Web,0.08098408471244689
2020-12-01,1297.0,152565.0,12356.0,Singapore,Sports & Outdoors,Mobile,0.08098843116048897
2020-12-01,2274.0,267606.0,21672.0,Singapore,Travel,Web,0.08098473128405193
2020-12-01,4140.0,487101.0,39447.0,Singapore,Travel,Mobile,0.08098320471524387
2020-12-01,1161.0,136606.0,11063.0,Singapore,Pet,Web,0.0809847298068899
2020-12-01,1546.0,181830.0,14726.0,Singapore,Pet,Mobile,0.08098773579717318
2020-12-01,820.0,96458.0,7812.0,Singapore,Others,Web,0.0809886168073151
2020-12-01,987.0,116049.0,9398.0,Singapore,Others,Mobile,0.08098303302915148
2020-12-01,91.0,10661.0,864.0,Taiwan,Clothing & Accessories,Web,0.08104305412250258
2020-12-01,4110.0,483629.0,39166.0,Taiwan,Clothing & Accessories,Mobile,0.08098356384749467
2020-12-01,1806.0,212449.0,17205.0,Taiwan,Electronics,Web,0.08098414207645128
2020-12-01,2528.0,297439.0,24088.0,Taiwan,Electronics,Mobile,0.08098467248746802
2020-12-01,1598.0,187960.0,15222.0,Taiwan,Home & Living,Web,0.0809853160246861
2020-12-01,696.0,81905.0,6633.0,Taiwan,Home & Living,Mobile,0.08098406690678225
2020-12-01,1828.0,215037.0,17415.0,Taiwan,Food & Beverages,Web,0.08098606286360022
2020-12-01,259.0,30376.0,2460.0,Taiwan,Food & Beverages,Mobile,0.08098498814853831
2020-12-01,4043.0,475769.0,38530.0,Taiwan,Hobbie & Books,Web,0.08098467953986073
2020-12-01,3095.0,364163.0,29491.0,Taiwan,Hobbie & Books,Mobile,0.08098296641888385
2020-12-01,4173.0,490999.0,39763.0,Taiwan,Health & Wellness,Web,0.08098387165757975
2020-12-01,424.0,49840.0,4037.0,Taiwan,Health & Wellness,Mobile,0.0809991974317817
2020-12-01,2698.0,317396.0,25704.0,Taiwan,Sports & Outdoors,Web,0.08098400735989111
2020-12-01,171.0,20019.0,1622.0,Taiwan,Sports & Outdoors,Mobile,0.08102302812328288
2020-12-01,32.0,3671.0,298.0,Taiwan,Travel,Web,0.08117679106510488
2020-12-01,1377.0,162027.0,13122.0,Taiwan,Travel,Mobile,0.08098650224962506
2020-12-01,4782.0,562664.0,45567.0,Taiwan,Pet,Web,0.08098438855160452
2020-12-01,49.0,5730.0,465.0,Taiwan,Pet,Mobile,0.08115183246073299
2020-12-01,51.0,5985.0,485.0,Taiwan,Others,Web,0.0810359231411863
2020-12-01,640.0,75226.0,6092.0,Taiwan,Others,Mobile,0.08098263898120331
2020-12-01,1183.0,139184.0,11272.0,Malaysia,Clothing & Accessories,Web,0.08098632026669732
2020-12-01,353.0,41543.0,3365.0,Malaysia,Clothing & Accessories,Mobile,0.08100040921454878
2020-12-01,1136.0,133687.0,10827.0,Malaysia,Electronics,Web,0.08098768017832698
2020-12-01,286.0,33589.0,2721.0,Malaysia,Electronics,Mobile,0.08100866355056716
2020-12-01,4591.0,540226.0,43750.0,Malaysia,Home & Living,Web,0.08098462495326031
2020-12-01,624.0,73321.0,5938.0,Malaysia,Home & Living,Mobile,0.08098634770393202
2020-12-01,2367.0,278443.0,22550.0,Malaysia,Food & Beverages,Web,0.08098605459645242
2020-12-01,257.0,30182.0,2445.0,Malaysia,Food & Beverages,Mobile,0.08100854814127625
2020-12-01,267.0,31337.0,2538.0,Malaysia,Hobbie & Books,Web,0.08099052238567828
2020-12-01,1643.0,193349.0,15658.0,Malaysia,Hobbie & Books,Mobile,0.08098309274938065
2020-12-01,3492.0,410859.0,33273.0,Malaysia,Health & Wellness,Web,0.0809839872072901
2020-12-01,530.0,62300.0,5046.0,Malaysia,Health & Wellness,Mobile,0.0809951845906902
2020-12-01,1188.0,139727.0,11316.0,Malaysia,Sports & Outdoors,Web,0.08098649509400474
2020-12-01,2420.0,284784.0,23063.0,Malaysia,Sports & Outdoors,Mobile,0.08098418450474745
2020-12-01,1535.0,180581.0,14624.0,Malaysia,Travel,Web,0.08098304915799558
2020-12-01,5469.0,643533.0,52116.0,Malaysia,Travel,Mobile,0.08098419195286023
2020-12-01,631.0,74174.0,6007.0,Malaysia,Pet,Web,0.08098525089654057
2020-12-01,680.0,79952.0,6475.0,Malaysia,Pet,Mobile,0.080986091654993
2020-12-01,2133.0,250956.0,20324.0,Malaysia,Others,Web,0.08098630835684344
2020-12-01,1699.0,199844.0,16184.0,Malaysia,Others,Mobile,0.08098316687015872
2020-12-01,430.0,50594.0,4098.0,Thailand,Clothing & Accessories,Web,0.08099774676839151
2020-12-01,545.0,64121.0,5193.0,Thailand,Clothing & Accessories,Mobile,0.0809875079927013
2020-12-01,619.0,72774.0,5894.0,Thailand,Electronics,Web,0.08099046362711958
2020-12-01,3357.0,394953.0,31985.0,Thailand,Electronics,Mobile,0.08098431965322456
2020-12-01,2303.0,270990.0,21946.0,Thailand,Home & Living,Web,0.0809845381748404
2020-12-01,167.0,19541.0,1583.0,Thailand,Home & Living,Mobile,0.08100916022721458
2020-12-01,4341.0,510762.0,41363.0,Thailand,Food & Beverages,Web,0.08098292355343585
2020-12-01,506.0,59457.0,4815.0,Thailand,Food & Beverages,Mobile,0.08098289520157424
2020-12-01,141.0,16525.0,1339.0,Thailand,Hobbie & Books,Web,0.0810287443267776
2020-12-01,1202.0,141360.0,11448.0,Thailand,Hobbie & Books,Mobile,0.08098471986417657
