 Variables , Total ,     Restaurants ,     Fast Food Outlets ,     Food Caterers ,"     Cafes, Food Courts & Other Eating Places * "
 1985 Jan ,74.682,93.485,25.772, na ,87.27
 1985 Feb ,75.819,98.704,28.303, na ,80.653
 1985 Mar ,76.388,90.648,30.364, na ,93.57
 1985 Apr ,66.721,77.828,26.006, na ,84.328
 1985 May ,70.417,82.594,27.037, na ,88.529
 1985 Jun ,75.06,88.946,31.629, na ,90.525
 1985 Jul ,65.583,73.404,26.287, na ,87.059
 1985 Aug ,67.384,75.559,27.973, na ,88.529
 1985 Sep ,70.417,85.089,26.99, na ,84.644
 1985 Oct ,72.881,89.628,24.225, na ,88.529
 1985 Nov ,72.596,87.473,27.692, na ,87.689
 1985 Dec ,75.913,88.381,33.081, na ,93.359
 1986 Jan ,69.374,89.401,24.131, na ,76.661
 1986 Feb ,67.099,89.741,25.771, na ,66.791
 1986 Mar ,66.815,76.695,29.989, na ,82.858
 1986 Apr ,61.886,71.701,23.991, na ,78.972
 1986 May ,67.099,80.665,29.754, na ,77.922
 1986 Jun ,65.014,74.198,32.004, na ,78.972
 1986 Jul ,63.782,74.085,26.803, na ,79.392
 1986 Aug ,67.099,80.212,31.207, na ,77.291
 1986 Sep ,67.382,84.864,25.304, na ,76.136
 1986 Oct ,64.54,76.24,25.913, na ,79.497
 1986 Nov ,66.151,78.282,28.115, na ,79.708
 1986 Dec ,72.595,84.522,32.894, na ,88.004
 1987 Jan ,65.298,78.282,26.843, na ,77.923
 1987 Feb ,63.308,77.26,23.236, na ,75.717
 1987 Mar ,68.9,81.346,29.42, na ,83.908
 1987 Apr ,64.729,74.766,27.78, na ,81.807
 1987 May ,71.839,86.224,30.543, na ,84.538
 1987 Jun ,68.427,78.056,31.762, na ,86.114
 1987 Jul ,67.004,78.511,27.545, na ,83.489
 1987 Aug ,70.89,83.048,33.261, na ,84.434
 1987 Sep ,69.185,82.028,29.888, na ,82.858
 1987 Oct ,78.188,97.231,31.528, na ,86.639
 1987 Nov ,76.198,92.125,34.385, na ,86.114
 1987 Dec ,85.77,105.286,40.053, na ,92.1
 1988 Jan ,77.031,93.793,33.261, na ,87.375
 1988 Feb ,76.179,95.495,34.9, na ,78.448
 1988 Mar ,78.642,93.907,36.867, na ,89.579
 1988 Apr ,75.041,89.597,35.555, na ,85.169
 1988 May ,79.494,94.134,38.179, na ,91.155
 1988 Jun ,76.653,90.731,35.696, na ,89.579
 1988 Jul ,79.116,95.267,37.242, na ,88.529
 1988 Aug ,76.747,91.638,34.994, na ,88.845
 1988 Sep ,78.452,96.061,33.588, na ,88.215
 1988 Oct ,84.137,103.546,37.149, na ,92.206
 1988 Nov ,85.273,105.134,37.945, na ,92.626
 1988 Dec ,94.653,115.795,47.08, na ,99.241
 1989 Jan ,84.115,103.731,38.368, na ,90.203
 1989 Feb ,82.979,105.205,39.023, na ,81.908
 1989 Mar ,87.432,105.998,41.975, na ,95.663
 1989 Apr ,83.832,102.598,37.431, na ,92.408
 1989 May ,86.673,106.112,38.929, na ,95.558
 1989 Jun ,84.211,99.99,40.851, na ,95.663
 1989 Jul ,88.284,106.112,42.865, na ,97.974
 1989 Aug ,85.537,102.144,41.178, na ,96.294
 1989 Sep ,91.504,113.821,40.148, na ,97.869
 1989 Oct ,89.895,109.626,40.148, na ,99.864
 1989 Nov ,91.978,112.573,42.349, na ,100.074
 1989 Dec ,101.641,124.023,50.735, na ,106.901
 1990 Jan ,91.067,110.903,43.448, na ,98.446
 1990 Feb ,87.754,110.903,37.315, na ,91.413
 1990 Mar ,93.055,113.396,45.93, na ,99.18
 1990 Apr ,86.714,102.974,43.355, na ,97.292
 1990 May ,93.151,112.263,46.257, na ,101.385
 1990 Jun ,89.553,103.652,50.004, na ,100.651
 1990 Jul ,89.175,103.993,45.322, na ,103.169
 1990 Aug ,91.54,109.203,46.539, na ,100.651
 1990 Sep ,90.593,109.77,43.683, na ,98.762
 1990 Oct ,94.665,116.114,44.478, na ,101.596
 1990 Nov ,98.641,121.212,47.007, na ,104.325
 1990 Dec ,107.445,132.426,53.702, na ,110.517
 1991 Jan ,88.884,106.263,40.622, na ,102.537
 1991 Feb ,85.098,103.997,41.886, na ,90.154
 1991 Mar ,89.831,105.81,47.221, na ,100.334
 1991 Apr ,88.222,104.903,43.851, na ,98.969
 1991 May ,93.902,111.701,46.332, na ,105.685
 1991 Jun ,97.309,114.08,54.053, na ,106.42
 1991 Jul ,92.482,109.323,45.302, na ,105.791
 1991 Aug ,93.617,109.323,48.344, na ,107.365
 1991 Sep ,96.741,117.82,45.302, na ,105.477
 1991 Oct ,97.024,117.367,45.022, na ,108.1
 1991 Nov ,102.704,125.409,49.046, na ,110.199
 1991 Dec ,109.804,132.999,54.475, na ,118.281
 1992 Jan ,97.843,118.222,44.489, na ,110.279
 1992 Feb ,99.262,122.865,51.085, na ,99.472
 1992 Mar ,95.193,111.201,49.121, na ,109.124
 1992 Apr ,95.476,112.786,48.372, na ,107.446
 1992 May ,99.64,118.447,52.862, na ,108.39
 1992 Jun ,95.855,109.841,53.798, na ,109.544
 1992 Jul ,95.664,111.314,48.652, na ,111.118
 1992 Aug ,97.084,114.145,50.803, na ,108.81
 1992 Sep ,100.681,121.958,49.447, na ,109.124
 1992 Oct ,100.397,119.014,50.991, na ,112.167
 1992 Nov ,103.235,125.129,54.406, na ,107.446
 1992 Dec ,108.723,133.396,58.383, na ,108.914
 1993 Jan ,103.451,123.532,57.038, na ,111.063
 1993 Feb ,93.687,113.414,47.516, na ,102.025
 1993 Mar ,102.158,119.969,54.7, na ,112.437
 1993 Apr ,96.319,109.338,50.697, na ,109.751
 1993 May ,104.565,124.933,55.861, na ,113.382
 1993 Jun ,104.615,121.585,60.536, na ,113.218
 1993 Jul ,103.459,117.928,56.941, na ,115.836
 1993 Aug ,104.1,118.227,62.007, na ,113.8
 1993 Sep ,102.837,124.316,55.089, na ,110.196
 1993 Oct ,107.362,131.048,56.791, na ,114.465
 1993 Nov ,106.727,125.681,58.257, na ,116.443
 1993 Dec ,118.953,148.812,66.333, na ,121.546
 1994 Jan ,105.874,128.403,56.852, na ,113.012
 1994 Feb ,102.158,129.94,58.393, na ,101.647
 1994 Mar ,110.101,130.427,64.588, na ,116.508
 1994 Apr ,100.874,118.546,58.478, na ,108
 1994 May ,105.16,126.518,63.699, na ,108.324
 1994 Jun ,99.625,113.485,62.602, na ,106.469
 1994 Jul ,103.948,120.397,63.366, na ,110.716
 1994 Aug ,100.166,116.561,61.448, na ,105.975
 1994 Sep ,105.859,135.724,59.686, na ,104.976
 1994 Oct ,105.6,127.543,63.697, na ,108.544
 1994 Nov ,108.573,133.236,65.711, na ,109.69
 1994 Dec ,118.055,146.47,71.896, na ,117.637
 1995 Jan ,105.997,125.724,64.082, na ,110.784
 1995 Feb ,97.804,119.707,56.286, na ,101.003
 1995 Mar ,107.07,128.101,65.202, na ,110.668
 1995 Apr ,100.546,112.613,65.052, na ,107.832
 1995 May ,107.628,127.483,67.622, na ,110.95
 1995 Jun ,105.224,122.203,67.648, na ,109.492
 1995 Jul ,107.422,122.453,69.571, na ,113.368
 1995 Aug ,105.189,119.585,68.371, na ,111.121
 1995 Sep ,109.103,135.554,66.857, na ,108.293
 1995 Oct ,107.667,128.008,68.067, na ,110.308
 1995 Nov ,110.592,134.221,68.824, na ,111.739
 1995 Dec ,123.694,153.249,79.216, na ,120.88
 1996 Jan ,105.932,125.925,63.799, na ,110.648
 1996 Feb ,106.473,129.48,66.931, na ,106.918
 1996 Mar ,111.579,134.535,69.604, na ,113.369
 1996 Apr ,103.592,117.726,66.526, na ,110.008
 1996 May ,108.918,124.676,71.553, na ,113.852
 1996 Jun ,110.068,126.977,71.607, na ,114.69
 1996 Jul ,106.654,120.694,69.052, na ,113.319
 1996 Aug ,107.054,118.648,71.104, na ,114.65
 1996 Sep ,108.597,128.375,69.818, na ,111.115
 1996 Oct ,110.333,128.193,70.762, na ,114.877
 1996 Nov ,116.637,138.312,75.381, na ,118.719
 1996 Dec ,125.809,150.723,82.774, na ,125.804
 1997 Jan ,111.453,123.767,67.532, na ,122.137
 1997 Feb ,109.873,127.998,69.501, na ,112.835
 1997 Mar ,118.774,130.226,83.143, na ,126.39
 1997 Apr ,108.271,113.487,75.096, na ,120.907
 1997 May ,114.108,124.411,80.328, na ,121.919
 1997 Jun ,115.665,125.223,83.82, na ,123.314
 1997 Jul ,110.616,117.246,78.192, na ,121.471
 1997 Aug ,111.15,116.681,79.964, na ,122.534
 1997 Sep ,115.345,133.618,74.079, na ,118.68
 1997 Oct ,112.95,127.234,75.731, na ,118.347
 1997 Nov ,115.99,134.533,76.942, na ,117.97
 1997 Dec ,126.044,148.078,82.361, na ,126.881
 1998 Jan ,111.994,125.522,76.142, na ,117.506
 1998 Feb ,105.015,120.291,68.608, na ,108.897
 1998 Mar ,108.195,114.267,78.342, na ,118.348
 1998 Apr ,100.545,101.746,71.434, na ,115.206
 1998 May ,109.38,116.488,75.872, na ,120.281
 1998 Jun ,100.833,100.408,76.593, na ,114.78
 1998 Jul ,100.338,102.939,72.463, na ,112.958
 1998 Aug ,102.168,103.439,76.276, na ,115.203
 1998 Sep ,98.942,104.859,67.567, na ,109.852
 1998 Oct ,105.377,115.622,73.078, na ,112.408
 1998 Nov ,105.258,113.723,74.516, na ,113.347
 1998 Dec ,114.222,126.159,79.937, na ,120.632
 1999 Jan ,100.522,101.728,75.087, na ,113.378
 1999 Feb ,93.855,100.439,69.687, na ,100.466
 1999 Mar ,105.717,115.24,83.981, na ,108.313
 1999 Apr ,98.609,103.516,76.518, na ,105.997
 1999 May ,106.127,117.679,86.142, na ,105.792
 1999 Jun ,105.611,116.627,81.285, na ,107.944
 1999 Jul ,100.507,105.445,78.505, na ,107.85
 1999 Aug ,98.304,98.79,79.273, na ,108.72
 1999 Sep ,103.803,115.321,75.964, na ,107.313
 1999 Oct ,108.085,119.302,76.272, na ,113.923
 1999 Nov ,110.016,122.181,81.243, na ,113.424
 1999 Dec ,117.253,136.017,85.093, na ,115.669
 2000 Jan ,107.283,115.547,88.275, na ,109.86
 2000 Feb ,104.487,117.4,78.398, na ,105.724
 2000 Mar ,108.97,120.966,78.829, na ,113.207
 2000 Apr ,104.613,110.125,80.909, na ,112.275
 2000 May ,111.37,119.954,87.735, na ,115.956
 2000 Jun ,107.405,117.17,80.775, na ,112.185
 2000 Jul ,108.222,116.27,82.043, na ,114.552
 2000 Aug ,107.165,114.533,79.839, na ,114.736
 2000 Sep ,117.041,137.053,81.734, na ,115.723
