Date,Day,Name,Type,Year
1-Jan,Thursday,New Year's Day,National holiday,2015
3-Feb,Tuesday,Thaipusam,Observance,2015
14-Feb,Saturday,Valentine's Day,Observance,2015
15-Feb,Sunday,Total Defense Day,Observance,2015
19-Feb,Thursday,Chinese Lunar New Year's Day,National holiday,2015
20-Feb,Friday,Second day of Chinese Lunar New Year,National holiday,2015
8-Mar,Sunday,International Women's Day,Observance,2015
21-Mar,Saturday,March Equinox,Season,2015
1-Apr,Wednesday,April Fool's Day,Observance,2015
3-Apr,Friday,Good Friday,National holiday,2015
4-Apr,Saturday,Easter Saturday,Observance,2015
5-Apr,Sunday,Easter Sunday,Observance,2015
1-May,Friday,Labour Day,National holiday,2015
10-May,Sunday,Mother's Day,Observance,2015
18-May,Monday,International Museum Day,Observance,2015
1-Jun,Monday,Vesak Day,National holiday,2015
20-Jun,Saturday,Dragon Boat Festival,Observance,2015
22-Jun,Monday,June Solstice,Season,2015
21-Jun,Sunday,Father's Day,Observance,2015
1-Jul,Wednesday,Singapore Armed Forces Day,Observance,2015
5-Jul,Sunday,Youth Day,Observance,2015
6-Jul,Monday,Youth Day observed,Observance,2015
17-Jul,Friday,Hari Raya Puasa,National holiday,2015
21-Jul,Tuesday,Racial Harmony Day,Observance,2015
7-Aug,Friday,SG50 Public Holiday,National holiday,2015
9-Aug,Sunday,National Day,National holiday,2015
10-Aug,Monday,National Day observed,National holiday,2015
11-Sep,Friday,2015 Polling Day,National holiday,2015
23-Sep,Wednesday,September Equinox,Season,2015
24-Sep,Thursday,Hari Raya Haji,National holiday,2015
27-Sep,Sunday,Mid-Autumn Festival,Observance,2015
4-Oct,Sunday,Children's Day,Observance,2015
5-Oct,Monday,Children's Day observed,Observance,2015
10-Nov,Tuesday,Diwali/Deepavali,National holiday,2015
22-Dec,Tuesday,December Solstice,Season,2015
24-Dec,Thursday,Christmas Eve,Observance,2015
25-Dec,Friday,Christmas Day,National holiday,2015
31-Dec,Thursday,New Year's Eve,Observance,2015
1-Jan,Friday,New Year's Day,National holiday,2016
24-Jan,Sunday,Thaipusam,Observance,2016
8-Feb,Monday,Chinese Lunar New Year's Day,National holiday,2016
9-Feb,Tuesday,Second day of Chinese Lunar New Year,National holiday,2016
14-Feb,Sunday,Valentine's Day,Observance,2016
15-Feb,Monday,Total Defense Day,Observance,2016
8-Mar,Tuesday,International Women's Day,Observance,2016
20-Mar,Sunday,March Equinox,Season,2016
25-Mar,Friday,Good Friday,National holiday,2016
26-Mar,Saturday,Easter Saturday,Observance,2016
27-Mar,Sunday,Easter Sunday,Observance,2016
1-Apr,Friday,April Fool's Day,Observance,2016
1-May,Sunday,Labour Day,National holiday,2016
2-May,Monday,Labour Day observed,National holiday,2016
8-May,Sunday,Mother's Day,Observance,2016
18-May,Wednesday,International Museum Day,Observance,2016
21-May,Saturday,Vesak Day,National holiday,2016
19-Jun,Sunday,Father's Day,Observance,2016
21-Jun,Tuesday,June Solstice,Season,2016
1-Jul,Friday,Singapore Armed Forces Day,Observance,2016
6-Jul,Wednesday,Hari Raya Puasa,National holiday,2016
