Date,Open,High,Low,Close,Adj Close,Volume
"Jul 21, 2020",2629.33,2644.51,2622.97,2629.45,2629.45,235880500
"Jul 20, 2020",2618.01,2619.78,2595.72,2616.3,2616.3,190816900
"Jul 17, 2020",2635.8,2640.38,2618.48,2618.48,2618.48,171927300
"Jul 16, 2020",2651.93,2661.95,2621.02,2623.67,2623.67,206579000
"Jul 15, 2020",2643.76,2658.9,2641.8,2648.9,2648.9,230774500
"Jul 14, 2020",2617.98,2631.81,2604.95,2620.19,2620.19,196496400
"Jul 13, 2020",2669.98,2670.93,2629.68,2631.08,2631.08,218372600
"Jul 10, 2020",-,-,-,-,-,-
"Jul 09, 2020",2678.92,2679.98,2652.07,2652.65,2652.65,171603800
"Jul 08, 2020",2665.51,2677.4,2653.02,2669.49,2669.49,186970000
"Jul 07, 2020",2705.1,2707.67,2657.94,2661.42,2661.42,223671600
"Jul 06, 2020",2662.41,2696.01,2653.37,2689.61,2689.61,214752500
"Jul 03, 2020",2648.64,2660.27,2637.13,2652.94,2652.94,208612100
"Jul 02, 2020",2607.49,2636.69,2597.61,2636.69,2636.69,216004700
"Jul 01, 2020",2604.08,2619.35,2597.29,2610.17,2610.17,149432000
"Jun 30, 2020",2595.27,2610.99,2589.91,2589.91,2589.91,335570700
"Jun 29, 2020",2589.74,2598.06,2572.23,2574.1,2574.1,232450900
"Jun 26, 2020",2603.43,2619.65,2600.5,2604.51,2604.51,196494800
"Jun 25, 2020",2604.03,2605.33,2574.85,2590.15,2590.15,307390600
"Jun 24, 2020",2644.45,2647.49,2615.72,2628.62,2628.62,277879600
"Jun 23, 2020",2635.69,2641.08,2583.99,2634.92,2634.92,307649600
"Jun 22, 2020",2638.15,2652.38,2627.46,2629.69,2629.69,275133500
"Jun 19, 2020",2656.36,2658.93,2634.83,2634.83,2634.83,475697600
"Jun 18, 2020",2651.04,2678.03,2645.61,2665.66,2665.66,211475700
"Jun 17, 2020",2677.99,2679.57,2644.18,2669.62,2669.62,240791200
"Jun 16, 2020",2664.6,2688.99,2663.75,2666.85,2666.85,330759200
"Jun 15, 2020",2652.8,2661.61,2606.15,2613.88,2613.88,367135600
"Jun 12, 2020",2629.7,2690.77,2609.03,2684.63,2684.63,455535800
"Jun 11, 2020",2785.19,2785.19,2697.24,2704.21,2704.21,488930800
"Jun 10, 2020",2805.81,2822.75,2789.19,2800.57,2800.57,332586800
"Jun 09, 2020",2810.44,2839.39,2783.3,2794.17,2794.17,497198700
"Jun 08, 2020",2775.68,2798.98,2766.35,2796.97,2796.97,418135200
"Jun 05, 2020",2714.55,2755.8,2702.6,2751.5,2751.5,382718200
"Jun 04, 2020",2733.57,2755.55,2684.07,2707.2,2707.2,473130700
"Jun 03, 2020",2637.41,2700.39,2637.41,2700.39,2700.39,602716000
"Jun 02, 2020",2565.29,2611.63,2562.09,2611.63,2611.63,528974200
"Jun 01, 2020",2519.42,2578.27,2516.46,2550.86,2550.86,658080300
"May 29, 2020",2494.31,2516.78,2489.94,2510.75,2510.75,1472751700
"May 28, 2020",2526.71,2531.56,2509.1,2515.24,2515.24,402054600
"May 27, 2020",2527.33,2537.79,2509.59,2519.48,2519.48,321590200
"May 26, 2020",2517.33,2544.46,2516.89,2530.3,2530.3,298292000
"May 22, 2020",2533.04,2534.9,2490.7,2499.83,2499.83,364821400
"May 21, 2020",2579.52,2583.03,2554.68,2555.34,2555.34,239368000
"May 20, 2020",2583.37,2587.16,2555.5,2561.94,2561.94,297329100
"May 19, 2020",2583.54,2596.41,2579.61,2581.33,2581.33,353410500
